"","cities"
"1","ADAMANTINA"
"2","ADOLFO"
"3","AGUAÍ"
"4","ÁGUAS DA PRATA"
"5","ÁGUAS DE LINDÓIA"
"6","ÁGUAS DE SANTA BÁRBARA"
"7","ÁGUAS DE SÃO PEDRO"
"8","AGUDOS"
"9","ALAMBARI"
"10","ALFREDO MARCONDES"
"11","ALTAIR"
"12","ALTINÓPOLIS"
"13","ALTO ALEGRE"
"14","ALUMÍNIO"
"15","ÁLVARES FLORENCE"
"16","ÁLVARES MACHADO"
"17","ÁLVARO DE CARVALHO"
"18","ALVINLÂNDIA"
"19","AMERICANA"
"20","AMÉRICO BRASILIENSE"
"21","AMÉRICO DE CAMPOS"
"22","AMPARO"
"23","ANALÂNDIA"
"24","ANDRADINA"
"25","ANGATUBA"
"26","ANHEMBI"
"27","ANHUMAS"
"28","APARECIDA"
"29","APARECIDA D'OESTE"
"30","APIAÍ"
"31","ARAÇARIGUAMA"
"32","ARAÇATUBA"
"33","ARAÇOIABA DA SERRA"
"34","ARAMINA"
"35","ARANDU"
"36","ARAPEÍ"
"37","ARARAQUARA"
"38","ARARAS"
"39","ARCO-ÍRIS"
"40","AREALVA"
"41","AREIAS"
"42","AREIÓPOLIS"
"43","ARIRANHA"
"44","ARTUR NOGUEIRA"
"45","ARUJÁ"
"46","ASPÁSIA"
"47","ASSIS"
"48","ATIBAIA"
"49","AURIFLAMA"
"50","AVAÍ"
"51","AVANHANDAVA"
"52","AVARÉ"
"53","BADY BASSITT"
"54","BALBINOS"
"55","BÁLSAMO"
"56","BANANAL"
"57","BARÃO DE ANTONINA"
"58","BARBOSA"
"59","BARIRI"
"60","BARRA BONITA"
"61","BARRA DO CHAPÉU"
"62","BARRA DO TURVO"
"63","BARRETOS"
"64","BARRINHA"
"65","BARUERI"
"66","BASTOS"
"67","BATATAIS"
"68","BAURU"
"69","BEBEDOURO"
"70","BENTO DE ABREU"
"71","BERNARDINO DE CAMPOS"
"72","BERTIOGA"
"73","BILAC"
"74","BIRIGUI"
"75","BIRITIBA MIRIM"
"76","BOA ESPERANÇA DO SUL"
"77","BOCAINA"
"78","BOFETE"
"79","BOITUVA"
"80","BOM JESUS DOS PERDÕES"
"81","BOM SUCESSO DE ITARARÉ"
"82","BORÁ"
"83","BORACÉIA"
"84","BORBOREMA"
"85","BOREBI"
"86","BOTUCATU"
"87","BRAGANÇA PAULISTA"
"88","BRAÚNA"
"89","BREJO ALEGRE"
"90","BRODOWSKI"
"91","BROTAS"
"92","BURI"
"93","BURITAMA"
"94","BURITIZAL"
"95","CABRÁLIA PAULISTA"
"96","CABREÚVA"
"97","CAÇAPAVA"
"98","CACHOEIRA PAULISTA"
"99","CACONDE"
"100","CAFELÂNDIA"
"101","CAIABU"
"102","CAIEIRAS"
"103","CAIUÁ"
"104","CAJAMAR"
"105","CAJATI"
"106","CAJOBI"
"107","CAJURU"
"108","CAMPINA DO MONTE ALEGRE"
"109","CAMPINAS"
"110","CAMPO LIMPO PAULISTA"
"111","CAMPOS DO JORDÃO"
"112","CAMPOS NOVOS PAULISTA"
"113","CANANÉIA"
"114","CANAS"
"115","CÂNDIDO MOTA"
"116","CÂNDIDO RODRIGUES"
"117","CANITAR"
"118","CAPÃO BONITO"
"119","CAPELA DO ALTO"
"120","CAPIVARI"
"121","CARAGUATATUBA"
"122","CARAPICUÍBA"
"123","CARDOSO"
"124","CASA BRANCA"
"125","CÁSSIA DOS COQUEIROS"
"126","CASTILHO"
"127","CATANDUVA"
"128","CATIGUÁ"
"129","CEDRAL"
"130","CERQUEIRA CÉSAR"
"131","CERQUILHO"
"132","CESÁRIO LANGE"
"133","CHARQUEADA"
"134","CLEMENTINA"
"135","COLINA"
"136","COLÔMBIA"
"137","CONCHAL"
"138","CONCHAS"
"139","CORDEIRÓPOLIS"
"140","COROADOS"
"141","CORONEL MACEDO"
"142","CORUMBATAÍ"
"143","COSMÓPOLIS"
"144","COSMORAMA"
"145","COTIA"
"146","CRAVINHOS"
"147","CRISTAIS PAULISTA"
"148","CRUZÁLIA"
"149","CRUZEIRO"
"150","CUBATÃO"
"151","CUNHA"
"152","DESCALVADO"
"153","DIADEMA"
"154","DIRCE REIS"
"155","DIVINOLÂNDIA"
"156","DOBRADA"
"157","DOIS CÓRREGOS"
"158","DOLCINÓPOLIS"
"159","DOURADO"
"160","DRACENA"
"161","DUARTINA"
"162","DUMONT"
"163","ECHAPORÃ"
"164","ELDORADO"
"165","ELIAS FAUSTO"
"166","ELISIÁRIO"
"167","EMBAÚBA"
"168","EMBU DAS ARTES"
"169","EMBU-GUAÇU"
"170","EMILIANÓPOLIS"
"171","ENGENHEIRO COELHO"
"172","ESPÍRITO SANTO DO PINHAL"
"173","ESPÍRITO SANTO DO TURVO"
"174","ESTRELA D'OESTE"
"175","ESTRELA DO NORTE"
"176","EUCLIDES DA CUNHA PAULISTA"
"177","FARTURA"
"178","FERNANDÓPOLIS"
"179","FERNANDO PRESTES"
"180","FERNÃO"
"181","FERRAZ DE VASCONCELOS"
"182","FLORA RICA"
"183","FLOREAL"
"184","FLÓRIDA PAULISTA"
"185","FLORÍNEA"
"186","FRANCA"
"187","FRANCISCO MORATO"
"188","FRANCO DA ROCHA"
"189","GABRIEL MONTEIRO"
"190","GÁLIA"
"191","GARÇA"
"192","GASTÃO VIDIGAL"
"193","GAVIÃO PEIXOTO"
"194","GENERAL SALGADO"
"195","GETULINA"
"196","GLICÉRIO"
"197","GUAIÇARA"
"198","GUAIMBÊ"
"199","GUAÍRA"
"200","GUAPIAÇU"
"201","GUAPIARA"
"202","GUARÁ"
"203","GUARAÇAÍ"
"204","GUARACI"
"205","GUARANI D'OESTE"
"206","GUARANTÃ"
"207","GUARARAPES"
"208","GUARAREMA"
"209","GUARATINGUETÁ"
"210","GUAREÍ"
"211","GUARIBA"
"212","GUARUJÁ"
"213","GUARULHOS"
"214","GUATAPARÁ"
"215","GUZOLÂNDIA"
"216","HERCULÂNDIA"
"217","HOLAMBRA"
"218","HORTOLÂNDIA"
"219","IACANGA"
"220","IACRI"
"221","IARAS"
"222","IBATÉ"
"223","IBIRÁ"
"224","IBIRAREMA"
"225","IBITINGA"
"226","IBIÚNA"
"227","ICÉM"
"228","IEPÊ"
"229","IGARAÇU DO TIETÊ"
"230","IGARAPAVA"
"231","IGARATÁ"
"232","IGUAPE"
"233","ILHABELA"
"234","ILHA COMPRIDA"
"235","ILHA SOLTEIRA"
"236","INDAIATUBA"
"237","INDIANA"
"238","INDIAPORÃ"
"239","INÚBIA PAULISTA"
"240","IPAUSSU"
"241","IPERÓ"
"242","IPEÚNA"
"243","IPIGUÁ"
"244","IPORANGA"
"245","IPUÃ"
"246","IRACEMÁPOLIS"
"247","IRAPUÃ"
"248","IRAPURU"
"249","ITABERÁ"
"250","ITAÍ"
"251","ITAJOBI"
"252","ITAJU"
"253","ITANHAÉM"
"254","ITAOCA"
"255","ITAPECERICA DA SERRA"
"256","ITAPETININGA"
"257","ITAPEVA"
"258","ITAPEVI"
"259","ITAPIRA"
"260","ITAPIRAPUÃ PAULISTA"
"261","ITÁPOLIS"
"262","ITAPORANGA"
"263","ITAPUÍ"
"264","ITAPURA"
"265","ITAQUAQUECETUBA"
"266","ITARARÉ"
"267","ITARIRI"
"268","ITATIBA"
"269","ITATINGA"
"270","ITIRAPINA"
"271","ITIRAPUÃ"
"272","ITOBI"
"273","ITU"
"274","ITUPEVA"
"275","ITUVERAVA"
"276","JABORANDI"
"277","JABOTICABAL"
"278","JACAREÍ"
"279","JACI"
"280","JACUPIRANGA"
"281","JAGUARIÚNA"
"282","JALES"
"283","JAMBEIRO"
"284","JANDIRA"
"285","JARDINÓPOLIS"
"286","JARINU"
"287","JAÚ"
"288","JERIQUARA"
"289","JOANÓPOLIS"
"290","JOÃO RAMALHO"
"291","JOSÉ BONIFÁCIO"
"292","JÚLIO MESQUITA"
"293","JUMIRIM"
"294","JUNDIAÍ"
"295","JUNQUEIRÓPOLIS"
"296","JUQUIÁ"
"297","JUQUITIBA"
"298","LAGOINHA"
"299","LARANJAL PAULISTA"
"300","LAVÍNIA"
"301","LAVRINHAS"
"302","LEME"
"303","LENÇÓIS PAULISTA"
"304","LIMEIRA"
"305","LINDÓIA"
"306","LINS"
"307","LORENA"
"308","LOURDES"
"309","LOUVEIRA"
"310","LUCÉLIA"
"311","LUCIANÓPOLIS"
"312","LUÍS ANTÔNIO"
"313","LUIZIÂNIA"
"314","LUPÉRCIO"
"315","LUTÉCIA"
"316","MACATUBA"
"317","MACAUBAL"
"318","MACEDÔNIA"
"319","MAGDA"
"320","MAIRINQUE"
"321","MAIRIPORÃ"
"322","MANDURI"
"323","MARABÁ PAULISTA"
"324","MARACAÍ"
"325","MARAPOAMA"
"326","MARIÁPOLIS"
"327","MARÍLIA"
"328","MARINÓPOLIS"
"329","MARTINÓPOLIS"
"330","MATÃO"
"331","MAUÁ"
"332","MENDONÇA"
"333","MERIDIANO"
"334","MESÓPOLIS"
"335","MIGUELÓPOLIS"
"336","MINEIROS DO TIETÊ"
"337","MIRACATU"
"338","MIRA ESTRELA"
"339","MIRANDÓPOLIS"
"340","MIRANTE DO PARANAPANEMA"
"341","MIRASSOL"
"342","MIRASSOLÂNDIA"
"343","MOCOCA"
"344","MOGI DAS CRUZES"
"345","MOGI GUAÇU"
"346","MOGI MIRIM"
"347","MOMBUCA"
"348","MONÇÕES"
"349","MONGAGUÁ"
"350","MONTE ALEGRE DO SUL"
"351","MONTE ALTO"
"352","MONTE APRAZÍVEL"
"353","MONTE AZUL PAULISTA"
"354","MONTE CASTELO"
"355","MONTEIRO LOBATO"
"356","MONTE MOR"
"357","MORRO AGUDO"
"358","MORUNGABA"
"359","MOTUCA"
"360","MURUTINGA DO SUL"
"361","NANTES"
"362","NARANDIBA"
"363","NATIVIDADE DA SERRA"
"364","NAZARÉ PAULISTA"
"365","NEVES PAULISTA"
"366","NHANDEARA"
"367","NIPOÃ"
"368","NOVA ALIANÇA"
"369","NOVA CAMPINA"
"370","NOVA CANAÃ PAULISTA"
"371","NOVA CASTILHO"
"372","NOVA EUROPA"
"373","NOVA GRANADA"
"374","NOVA GUATAPORANGA"
"375","NOVA INDEPENDÊNCIA"
"376","NOVAIS"
"377","NOVA LUZITÂNIA"
"378","NOVA ODESSA"
"379","NOVO HORIZONTE"
"380","NUPORANGA"
"381","OCAUÇU"
"382","ÓLEO"
"383","OLÍMPIA"
"384","ONDA VERDE"
"385","ORIENTE"
"386","ORINDIÚVA"
"387","ORLÂNDIA"
"388","OSASCO"
"389","OSCAR BRESSANE"
"390","OSVALDO CRUZ"
"391","OURINHOS"
"392","OUROESTE"
"393","OURO VERDE"
"394","PACAEMBU"
"395","PALESTINA"
"396","PALMARES PAULISTA"
"397","PALMEIRA D'OESTE"
"398","PALMITAL"
"399","PANORAMA"
"400","PARAGUAÇU PAULISTA"
"401","PARAIBUNA"
"402","PARAÍSO"
"403","PARANAPANEMA"
"404","PARANAPUÃ"
"405","PARAPUÃ"
"406","PARDINHO"
"407","PARIQUERA-AÇU"
"408","PARISI"
"409","PATROCÍNIO PAULISTA"
"410","PAULICÉIA"
"411","PAULÍNIA"
"412","PAULISTÂNIA"
"413","PAULO DE FARIA"
"414","PEDERNEIRAS"
"415","PEDRA BELA"
"416","PEDRANÓPOLIS"
"417","PEDREGULHO"
"418","PEDREIRA"
"419","PEDRINHAS PAULISTA"
"420","PEDRO DE TOLEDO"
"421","PENÁPOLIS"
"422","PEREIRA BARRETO"
"423","PEREIRAS"
"424","PERUÍBE"
"425","PIACATU"
"426","PIEDADE"
"427","PILAR DO SUL"
"428","PINDAMONHANGABA"
"429","PINDORAMA"
"430","PINHALZINHO"
"431","PIQUEROBI"
"432","PIQUETE"
"433","PIRACAIA"
"434","PIRACICABA"
"435","PIRAJU"
"436","PIRAJUÍ"
"437","PIRANGI"
"438","PIRAPORA DO BOM JESUS"
"439","PIRAPOZINHO"
"440","PIRASSUNUNGA"
"441","PIRATININGA"
"442","PITANGUEIRAS"
"443","PLANALTO"
"444","PLATINA"
"445","POÁ"
"446","POLONI"
"447","POMPÉIA"
"448","PONGAÍ"
"449","PONTAL"
"450","PONTALINDA"
"451","PONTES GESTAL"
"452","POPULINA"
"453","PORANGABA"
"454","PORTO FELIZ"
"455","PORTO FERREIRA"
"456","POTIM"
"457","POTIRENDABA"
"458","PRACINHA"
"459","PRADÓPOLIS"
"460","PRAIA GRANDE"
"461","PRATÂNIA"
"462","PRESIDENTE ALVES"
"463","PRESIDENTE BERNARDES"
"464","PRESIDENTE EPITÁCIO"
"465","PRESIDENTE PRUDENTE"
"466","PRESIDENTE VENCESLAU"
"467","PROMISSÃO"
"468","QUADRA"
"469","QUATÁ"
"470","QUEIROZ"
"471","QUELUZ"
"472","QUINTANA"
"473","RAFARD"
"474","RANCHARIA"
"475","REDENÇÃO DA SERRA"
"476","REGENTE FEIJÓ"
"477","REGINÓPOLIS"
"478","REGISTRO"
"479","RESTINGA"
"480","RIBEIRA"
"481","RIBEIRÃO BONITO"
"482","RIBEIRÃO BRANCO"
"483","RIBEIRÃO CORRENTE"
"484","RIBEIRÃO DO SUL"
"485","RIBEIRÃO DOS ÍNDIOS"
"486","RIBEIRÃO GRANDE"
"487","RIBEIRÃO PIRES"
"488","RIBEIRÃO PRETO"
"489","RIVERSUL"
"490","RIFAINA"
"491","RINCÃO"
"492","RINÓPOLIS"
"493","RIO CLARO"
"494","RIO DAS PEDRAS"
"495","RIO GRANDE DA SERRA"
"496","RIOLÂNDIA"
"497","ROSANA"
"498","ROSEIRA"
"499","RUBIÁCEA"
"500","RUBINÉIA"
"501","SABINO"
"502","SAGRES"
"503","SALES"
"504","SALES OLIVEIRA"
"505","SALESÓPOLIS"
"506","SALMOURÃO"
"507","SALTINHO"
"508","SALTO"
"509","SALTO DE PIRAPORA"
"510","SALTO GRANDE"
"511","SANDOVALINA"
"512","SANTA ADÉLIA"
"513","SANTA ALBERTINA"
"514","SANTA BÁRBARA D'OESTE"
"515","SANTA BRANCA"
"516","SANTA CLARA D'OESTE"
"517","SANTA CRUZ DA CONCEIÇÃO"
"518","SANTA CRUZ DA ESPERANÇA"
"519","SANTA CRUZ DAS PALMEIRAS"
"520","SANTA CRUZ DO RIO PARDO"
"521","SANTA ERNESTINA"
"522","SANTA FÉ DO SUL"
"523","SANTA GERTRUDES"
"524","SANTA ISABEL"
"525","SANTA LÚCIA"
"526","SANTA MARIA DA SERRA"
"527","SANTA MERCEDES"
"528","SANTANA DA PONTE PENSA"
"529","SANTANA DE PARNAÍBA"
"530","SANTA RITA D'OESTE"
"531","SANTA RITA DO PASSA QUATRO"
"532","SANTA ROSA DE VITERBO"
"533","SANTA SALETE"
"534","SANTO ANASTÁCIO"
"535","SANTO ANDRÉ"
"536","SANTO ANTÔNIO DA ALEGRIA"
"537","SANTO ANTÔNIO DE POSSE"
"538","SANTO ANTÔNIO DO ARACANGUÁ"
"539","SANTO ANTÔNIO DO JARDIM"
"540","SANTO ANTÔNIO DO PINHAL"
"541","SANTO EXPEDITO"
"542","SANTÓPOLIS DO AGUAPEÍ"
"543","SANTOS"
"544","SÃO BENTO DO SAPUCAÍ"
"545","SÃO BERNARDO DO CAMPO"
"546","SÃO CAETANO DO SUL"
"547","SÃO CARLOS"
"548","SÃO FRANCISCO"
"549","SÃO JOÃO DA BOA VISTA"
"550","SÃO JOÃO DAS DUAS PONTES"
"551","SÃO JOÃO DE IRACEMA"
"552","SÃO JOÃO DO PAU D'ALHO"
"553","SÃO JOAQUIM DA BARRA"
"554","SÃO JOSÉ DA BELA VISTA"
"555","SÃO JOSÉ DO BARREIRO"
"556","SÃO JOSÉ DO RIO PARDO"
"557","SÃO JOSÉ DO RIO PRETO"
"558","SÃO JOSÉ DOS CAMPOS"
"559","SÃO LOURENÇO DA SERRA"
"560","SÃO LUIZ DO PARAITINGA"
"561","SÃO MANUEL"
"562","SÃO MIGUEL ARCANJO"
"563","SÃO PAULO"
"564","SÃO PEDRO"
"565","SÃO PEDRO DO TURVO"
"566","SÃO ROQUE"
"567","SÃO SEBASTIÃO"
"568","SÃO SEBASTIÃO DA GRAMA"
"569","SÃO SIMÃO"
"570","SÃO VICENTE"
"571","SARAPUÍ"
"572","SARUTAIÁ"
"573","SEBASTIANÓPOLIS DO SUL"
"574","SERRA AZUL"
"575","SERRANA"
"576","SERRA NEGRA"
"577","SERTÃOZINHO"
"578","SETE BARRAS"
"579","SEVERÍNIA"
"580","SILVEIRAS"
"581","SOCORRO"
"582","SOROCABA"
"583","SUD MENNUCCI"
"584","SUMARÉ"
"585","SUZANO"
"586","SUZANÁPOLIS"
"587","TABAPUÃ"
"588","TABATINGA"
"589","TABOÃO DA SERRA"
"590","TACIBA"
"591","TAGUAÍ"
"592","TAIAÇU"
"593","TAIÚVA"
"594","TAMBAÚ"
"595","TANABI"
"596","TAPIRAÍ"
"597","TAPIRATIBA"
"598","TAQUARAL"
"599","TAQUARITINGA"
"600","TAQUARITUBA"
"601","TAQUARIVAÍ"
"602","TARABAI"
"603","TARUMÃ"
"604","TATUÍ"
"605","TAUBATÉ"
"606","TEJUPÁ"
"607","TEODORO SAMPAIO"
"608","TERRA ROXA"
"609","TIETÊ"
"610","TIMBURI"
"611","TORRE DE PEDRA"
"612","TORRINHA"
"613","TRABIJU"
"614","TREMEMBÉ"
"615","TRÊS FRONTEIRAS"
"616","TUIUTI"
"617","TUPÃ"
"618","TUPI PAULISTA"
"619","TURIÚBA"
"620","TURMALINA"
"621","UBARANA"
"622","UBATUBA"
"623","UBIRAJARA"
"624","UCHOA"
"625","UNIÃO PAULISTA"
"626","URÂNIA"
"627","URU"
"628","URUPÊS"
"629","VALENTIM GENTIL"
"630","VALINHOS"
"631","VALPARAÍSO"
"632","VARGEM"
"633","VARGEM GRANDE DO SUL"
"634","VARGEM GRANDE PAULISTA"
"635","VÁRZEA PAULISTA"
"636","VERA CRUZ"
"637","VINHEDO"
"638","VIRADOURO"
"639","VISTA ALEGRE DO ALTO"
"640","VITÓRIA BRASIL"
"641","VOTORANTIM"
"642","VOTUPORANGA"
"643","ZACARIAS"
"644","CHAVANTES"
"645","ESTIVA GERBI"
