CITY;CODE
ADAMANTINA;3500105
ADOLFO;3500204
AGUAS DA PRATA;3500402
AGUAS DE SANTA BARBARA;3500550
AGUAS DE SAO PEDRO;3500600
AGUDOS;3500709
ALAMBARI;3500758
ALFREDO MARCONDES;3500808
ALTAIR;3500907
ALTO ALEGRE;3501103
ALVARES FLORENCE;3501202
ALVARES MACHADO;3501301
ALVARO DE CARVALHO;3501400
ALVINLANDIA;3501509
AMERICANA;3501608
AMPARO;3501905
ANALANDIA;3502002
ANDRADINA;3502101
ANGATUBA;3502200
ANHEMBI;3502309
ANHUMAS;3502408
APARECIDA;3502507
APARECIDA D'OESTE;3502606
ARAMINA;3503000
ARANDU;3503109
ARARAQUARA;3503208
ARARAS;3503307
AREALVA;3503406
AREIAS;3503505
ARIRANHA;3503703
ARTUR NOGUEIRA;3503802
ARUJA;3503901
ASPASIA;3503950
ASSIS;3504008
ATIBAIA;3504107
AURIFLAMA;3504206
AVANHANDAVA;3504404
BADY BASSITT;3504602
BALBINOS;3504701
BALSAMO;3504800
BANANAL;3504909
BARAO DE ANTONINA;3505005
BARBOSA;3505104
BARIRI;3505203
BARRA BONITA;3505302
BARRA DO TURVO;3505401
BARRETOS;3505500
BARRINHA;3505609
BARUERI;3505708
BASTOS;3505807
BATATAIS;3505906
BAURU;3506003
BEBEDOURO;3506102
BENTO DE ABREU;3506201
BERNARDINO DE CAMPOS;3506300
BERTIOGA;3506359
BILAC;3506409
BIRIGUI;3506508
BIRITIBA-MIRIM;3506607
BOCAINA;3506805
BOFETE;3506904
BOITUVA;3507001
BORA;3507209
BORBOREMA;3507407
BOREBI;3507456
BOTUCATU;3507506
BREJO ALEGRE;3507753
BRODOWSKI;3507803
BROTAS;3507902
BURI;3508009
BURITAMA;3508108
BURITIZAL;3508207
CABRALIA PAULISTA;3508306
CACHOEIRA PAULISTA;3508603
CACONDE;3508702
CAFELANDIA;3508801
CAIABU;3508900
CAIEIRAS;3509007
CAIUA;3509106
CAJAMAR;3509205
CAJATI;3509254
CAJOBI;3509304
CAJURU;3509403
CAMPINA DO MONTE ALEGRE;3509452
CAMPINAS;3509502
CAMPO LIMPO PAULISTA;3509601
CAMPOS DO JORDAO;3509700
CAMPOS NOVOS PAULISTA;3509809
CANAS;3509957
CANDIDO MOTA;3510005
CANDIDO RODRIGUES;3510104
CANITAR;3510153
CAPAO BONITO;3510203
CAPELA DO ALTO;3510302
CAPIVARI;3510401
CARAGUATATUBA;3510500
CARDOSO;3510708
CASA BRANCA;3510807
CASSIA DOS COQUEIROS;3510906
CASTILHO;3511003
CATANDUVA;3511102
CATIGUA;3511201
CEDRAL;3511300
CERQUILHO;3511508
CESARIO LANGE;3511607
CHARQUEADA;3511706
CLEMENTINA;3511904
COLINA;3512001
CONCHAL;3512209
CONCHAS;3512308
COROADOS;3512506
CORONEL MACEDO;3512605
COSMORAMA;3512902
COTIA;3513009
CRAVINHOS;3513108
CRISTAIS PAULISTA;3513207
CRUZALIA;3513306
CRUZEIRO;3513405
CUBATAO;3513504
CUNHA;3513603
DESCALVADO;3513702
DIADEMA;3513801
DIRCE REIS;3513850
DIVINOLANDIA;3513900
DOBRADA;3514007
DOURADO;3514304
DRACENA;3514403
DUARTINA;3514502
DUMONT;3514601
ECHAPORA;3514700
ELDORADO;3514809
ELIAS FAUSTO;3514908
ELISIARIO;3514924
ENGENHEIRO COELHO;3515152
ESTRELA D'OESTE;3515202
ESTRELA DO NORTE;3515301
EUCLIDES DA CUNHA PAULISTA;3515350
FARTURA;3515400
FERNANDO PRESTES;3515608
FERNAO;3515657
FERRAZ DE VASCONCELOS;3515707
FLORA RICA;3515806
FLOREAL;3515905
FRANCA;3516200
FRANCISCO MORATO;3516309
FRANCO DA ROCHA;3516408
GABRIEL MONTEIRO;3516507
GALIA;3516606
GASTAO VIDIGAL;3516804
GAVIAO PEIXOTO;3516853
GENERAL SALGADO;3516903
GETULINA;3517000
GUAPIARA;3517604
GUARA;3517703
GUARACI;3517901
GUARANI D'OESTE;3518008
GUARANTA;3518107
GUARARAPES;3518206
GUARAREMA;3518305
GUARATINGUETA;3518404
GUARIBA;3518602
GUARUJA;3518701
GUARULHOS;3518800
GUATAPARA;3518859
GUZOLANDIA;3518909
HERCULANDIA;3519006
HOLAMBRA;3519055
HORTOLANDIA;3519071
IACANGA;3519105
IACRI;3519204
IARAS;3519253
IBIRA;3519402
IBIRAREMA;3519501
IBITINGA;3519600
IGARAPAVA;3520103
IGARATA;3520202
IGUAPE;3520301
ILHABELA;3520400
ILHA COMPRIDA;3520426
ILHA SOLTEIRA;3520442
INDAIATUBA;3520509
INDIANA;3520608
INDIAPORA;3520707
IPAUSSU;3520905
IPIGUA;3521150
IPORANGA;3521200
IPUA;3521309
IRACEMAPOLIS;3521408
IRAPUA;3521507
IRAPURU;3521606
ITABERA;3521705
ITAJOBI;3521903
ITAJU;3522000
ITAPECERICA DA SERRA;3522208
ITAPETININGA;3522307
ITAPEVA;3522406
ITAPEVI;3522505
ITAPIRA;3522604
ITAPIRAPUA PAULISTA;3522653
ITAPOLIS;3522703
ITAPORANGA;3522802
ITAPURA;3523008
ITAQUAQUECETUBA;3523107
ITARIRI;3523305
ITATIBA;3523404
ITATINGA;3523503
ITIRAPINA;3523602
ITIRAPUA;3523701
ITOBI;3523800
ITU;3523909
ITUPEVA;3524006
ITUVERAVA;3524105
JABORANDI;3524204
JABOTICABAL;3524303
JACI;3524501
JACUPIRANGA;3524600
JALES;3524808
JAMBEIRO;3524907
JANDIRA;3525003
JARINU;3525201
JERIQUARA;3525409
JOAO RAMALHO;3525607
JUMIRIM;3525854
JUQUIA;3526100
JUQUITIBA;3526209
LAGOINHA;3526308
LARANJAL PAULISTA;3526407
LAVRINHAS;3526605
LEME;3526704
LIMEIRA;3526902
LINS;3527108
LORENA;3527207
LOURDES;3527256
LOUVEIRA;3527306
LUIZIANIA;3527702
MACATUBA;3528007
MACAUBAL;3528106
MAGDA;3528304
MAIRINQUE;3528403
MAIRIPORA;3528502
MANDURI;3528601
MARABA PAULISTA;3528700
MARAPOAMA;3528858
MARIAPOLIS;3528908
MATAO;3529302
MAUA;3529401
MERIDIANO;3529609
MIRACATU;3529906
MIRA ESTRELA;3530003
MIRANTE DO PARANAPANEMA;3530201
MIRASSOL;3530300
MIRASSOLANDIA;3530409
MOCOCA;3530508
MOMBUCA;3530904
MONGAGUA;3531100
MONTE ALEGRE DO SUL;3531209
MONTE ALTO;3531308
MONTE AZUL PAULISTA;3531506
MONTE CASTELO;3531605
MONTEIRO LOBATO;3531704
MONTE MOR;3531803
MORRO AGUDO;3531902
MORUNGABA;3532009
MOTUCA;3532058
MURUTINGA DO SUL;3532108
NANTES;3532157
NARANDIBA;3532207
NATIVIDADE DA SERRA;3532306
NEVES PAULISTA;3532504
NHANDEARA;3532603
NIPOA;3532702
NOVA CAMPINA;3532827
NOVA CANAA PAULISTA;3532843
NOVA CASTILHO;3532868
NOVA EUROPA;3532900
NOVA GRANADA;3533007
NOVA GUATAPORANGA;3533106
NOVAIS;3533254
NOVA LUZITANIA;3533304
NOVA ODESSA;3533403
NOVO HORIZONTE;3533502
NUPORANGA;3533601
ONDA VERDE;3534005
ORIENTE;3534104
ORLANDIA;3534302
OSASCO;3534401
OSCAR BRESSANE;3534500
OSVALDO CRUZ;3534609
OURINHOS;3534708
OUROESTE;3534757
OURO VERDE;3534807
PACAEMBU;3534906
PALESTINA;3535002
PALMARES PAULISTA;3535101
PALMEIRA D'OESTE;3535200
PALMITAL;3535309
PANORAMA;3535408
PARAIBUNA;3535606
PARANAPANEMA;3535804
PARANAPUA;3535903
PARAPUA;3536000
PARDINHO;3536109
PARISI;3536257
PAULISTANIA;3536570
PAULO DE FARIA;3536604
PEDERNEIRAS;3536703
PEDRA BELA;3536802
PEDREGULHO;3537008
PEDREIRA;3537107
PEDRINHAS PAULISTA;3537156
PEDRO DE TOLEDO;3537206
PENAPOLIS;3537305
PEREIRA BARRETO;3537404
PEREIRAS;3537503
PIACATU;3537701
PIEDADE;3537800
PILAR DO SUL;3537909
PINDAMONHANGABA;3538006
PINDORAMA;3538105
PINHALZINHO;3538204
PIQUEROBI;3538303
PIQUETE;3538501
PIRACAIA;3538600
PIRACICABA;3538709
PIRAJU;3538808
PIRANGI;3539004
PIRAPORA DO BOM JESUS;3539103
PIRAPOZINHO;3539202
PIRASSUNUNGA;3539301
PIRATININGA;3539400
PITANGUEIRAS;3539509
PLANALTO;3539608
PLATINA;3539707
POA;3539806
POLONI;3539905
PONTAL;3540200
PONTALINDA;3540259
PONTES GESTAL;3540309
POPULINA;3540408
PORANGABA;3540507
PORTO FELIZ;3540606
PORTO FERREIRA;3540705
POTIM;3540754
POTIRENDABA;3540804
PRACINHA;3540853
PRAIA GRANDE;3541000
PRATANIA;3541059
PRESIDENTE ALVES;3541109
PRESIDENTE BERNARDES;3541208
PRESIDENTE EPITACIO;3541307
PRESIDENTE PRUDENTE;3541406
PRESIDENTE VENCESLAU;3541505
PROMISSAO;3541604
QUADRA;3541653
QUATA;3541703
QUEIROZ;3541802
QUELUZ;3541901
QUINTANA;3542008
RAFARD;3542107
RANCHARIA;3542206
REGISTRO;3542602
RESTINGA;3542701
RIBEIRA;3542800
RIBEIRAO BONITO;3542909
RIBEIRAO BRANCO;3543006
RIBEIRAO CORRENTE;3543105
RIBEIRAO DO SUL;3543204
RIBEIRAO GRANDE;3543253
RIBEIRAO PIRES;3543303
RIBEIRAO PRETO;3543402
RIVERSUL;3543501
RIFAINA;3543600
RINCAO;3543709
RIO CLARO;3543907
RIO DAS PEDRAS;3544004
RIO GRANDE DA SERRA;3544103
RIOLANDIA;3544202
ROSANA;3544251
ROSEIRA;3544301
RUBIACEA;3544400
SABINO;3544608
SAGRES;3544707
SALES;3544806
SALES OLIVEIRA;3544905
SALMOURAO;3545100
SALTINHO;3545159
SALTO;3545209
SALTO DE PIRAPORA;3545308
SALTO GRANDE;3545407
SANDOVALINA;3545506
SANTA ALBERTINA;3545704
SANTA BARBARA D'OESTE;3545803
SANTA BRANCA;3546009
SANTA CLARA D'OESTE;3546108
SANTA CRUZ DAS PALMEIRAS;3546306
SANTA CRUZ DO RIO PARDO;3546405
SANTA ERNESTINA;3546504
SANTA GERTRUDES;3546702
SANTA ISABEL;3546801
SANTA MARIA DA SERRA;3547007
SANTA MERCEDES;3547106
SANTANA DA PONTE PENSA;3547205
SANTA RITA D'OESTE;3547403
SANTA RITA DO PASSA QUATRO;3547502
SANTA ROSA DE VITERBO;3547601
SANTA SALETE;3547650
SANTO ANASTACIO;3547700
SANTO EXPEDITO;3548302
SANTOS;3548500
SAO BERNARDO DO CAMPO;3548708
SAO CAETANO DO SUL;3548807
SAO CARLOS;3548906
SAO FRANCISCO;3549003
SAO JOAO DA BOA VISTA;3549102
SAO JOAO DAS DUAS PONTES;3549201
SAO JOAO DE IRACEMA;3549250
SAO JOAO DO PAU D'ALHO;3549300
SAO JOAQUIM DA BARRA;3549409
SAO MANUEL;3550100
SAO MIGUEL ARCANJO;3550209
SAO PAULO;3550308
SAO PEDRO;3550407
SAO PEDRO DO TURVO;3550506
SAO ROQUE;3550605
SAO SEBASTIAO;3550704
SAO SEBASTIAO DA GRAMA;3550803
SAO SIMAO;3550902
SAO VICENTE;3551009
SARUTAIA;3551207
SERRA AZUL;3551405
SERRANA;3551504
SERRA NEGRA;3551603
SERTAOZINHO;3551702
SETE BARRAS;3551801
SILVEIRAS;3552007
SOCORRO;3552106
SOROCABA;3552205
SUD MENNUCCI;3552304
SUZANO;3552502
SUZANAPOLIS;3552551
TABAPUA;3552601
TABATINGA;3552700
TABOAO DA SERRA;3552809
TACIBA;3552908
TANABI;3553401
TAPIRATIBA;3553609
TAQUARAL;3553658
TAQUARITINGA;3553708
TAQUARITUBA;3553807
TARABAI;3553906
TARUMA;3553955
TEJUPA;3554201
TEODORO SAMPAIO;3554300
TERRA ROXA;3554409
TIMBURI;3554607
TORRE DE PEDRA;3554656
TORRINHA;3554706
TRABIJU;3554755
TUIUTI;3554953
TUPA;3555000
TUPI PAULISTA;3555109
TURMALINA;3555307
UBARANA;3555356
UBATUBA;3555406
UBIRAJARA;3555505
UCHOA;3555604
UNIAO PAULISTA;3555703
URANIA;3555802
URU;3555901
VALENTIM GENTIL;3556107
VALINHOS;3556206
VARGEM;3556354
VARGEM GRANDE DO SUL;3556404
VARGEM GRANDE PAULISTA;3556453
VARZEA PAULISTA;3556503
VERA CRUZ;3556602
VINHEDO;3556701
VIRADOURO;3556800
VISTA ALEGRE DO ALTO;3556909
VOTORANTIM;3557006
VOTUPORANGA;3557105
ZACARIAS;3557154
CHAVANTES;3557204
ESTIVA GERBI;3557303
