CITY;CLASSES
Sete Barras;1
Murutinga do Sul;1
Guaraci;1
Aracariguama;2
Iacanga;1
Garca;2
Tambau;1
Barbosa;1
Microregion of Caraguatatuba;2
Laranjal Paulista;2
Pedregulho;1
Catigua;2
Rio Claro;2
Itanhaem;1
Arapei;1
Santana de Parnaiba;3
Santa Maria da Serra;1
Palmital;1
Magda;1
Araras;1
Espirito Santo do Pinhal;1
Ubirajara;1
Gastao Vidigal;1
Caiabu;1
Coroados;1
Sao Paulo;3
Sao Luis do Paraitinga;1
Barra do Chapeu;1
Casa Branca;1
Rifaina;1
Itapirapua Paulista;1
Buri;1
Santo Antonio da Alegria;1
Sao Simao;1
Campinas;3
Pereira Barreto;1
Artur Nogueira;2
Itapeva;1
Sao Sebastiao;2
Iguape;1
Serrana;2
Sao Carlos;1
Borebi;1
Guaira;1
Reginopolis;1
Sao Joaquim da Barra;2
Jose Bonifacio;1
Jacupiranga;1
Iepe;1
Iguape;1
Sales;1
Pitangueiras;1
Araraquara;2
Campina do Monte Alegre;1
Jaguariuna;2
Itabera;1
Itaju;1
Barra do Turvo;1
Morro Agudo;1
Nova Campina;1
Valentim Gentil;2
Ocaucu;1
Presidente Epitacio;1
Icem;1
Itajobi;2
Ilha Solteira;1
Sao Bernardo do Campo;3
Santa Rita D'Oeste;1
Limeira;3
Fernao;1
Riolandia;1
Guatapara;1
Barretos;1
Mirassolandia;1
Iracemapolis;2
Gaviao Peixoto;1
Bebedouro;1
Lins;1
Pontes Gestal;1
Juquitiba;1
Igaracu do Tiete;1
Pompeia;1
Santo Antonio do Aracangua;1
Boa Esperanca do Sul;1
Guzolandia;1
Taruma;1
Santo Antonio do Aracangua;1
Sao Jose do Rio Pardo;1
Castilho;1
Bernardino de Campos;1
Bilac;1
Tiete;2
Getulina;1
Ibira;2
Santos;2
Teodoro Sampaio;1
Macaubal;1
Cruzalia;1
Taquarituba;1
Teodoro Sampaio;1
Bebedouro;1
Lins;1
Piratininga;1
Presidente Bernardes;2
Cunha;1
Lins;1
Andradina;1
Pompeia;1
Erro;1
Balsamo;2
Promissao;2
Guararema;1
Caconde;1
Sao Jose do Barreiro;1
Guaruja;2
Nova Granada;1
Santa Cruz do Rio Pardo;1
Lourdes;1
Lagoinha;1
Itobi;1
Santo Anastacio;1
Sao Lourenco da Serra;1
Palestina;1
Riolandia;1
Coronel Macedo;1
Sao Francisco;1
Joao Ramalho;1
Santa Rita D'Oeste;1
Guaratingueta;2
Itai;1
Fartura;2
Alvares Florence;1
Ubatuba;1
Santa Cruz do Rio Pardo;1
Sao Luis do Paraitinga;1
Iepe;1
Osvaldo Cruz;1
Bauru;2
Ribeirao Pires;2
Manduri;1
Ilha Comprida;1
Boa Esperanca do Sul;1
Holambra;3
Itarare;1
Sao Carlos;1
Batatais;1
Pardinho;1
Jose Bonifacio;1
Guara;1
Itabera;1
Alambari;2
Pindamonhangaba;1
Borborema;1
Americana;3
Mirante do Paranapanema;1
Alvinlandia;1
Capao Bonito;1
Jardinopolis;2
Tapiratiba;1
Ibitinga;1
Santa Barbara d'Oeste;3
Barretos;2
Ribeirao Bonito;1
Mirante do Paranapanema;1
Itapira;2
Meridiano;1
Analandia;1
Junqueiropolis;1
Pirangi;1
Redencao da Serra;1
Patrocinio Paulista;1
Itaquaquecetuba;3
Bofete;1
Itapolis;1
Lencois Paulista;1
Apiai;1
Pedregulho;1
Mogi Mirim;2
Erro;1
Iacanga;1
Monte Mor;3
Maraba Paulista;1
Castilho;1
Corumbatai;2
Castilho;2
Martinopolis;1
Sorocaba;3
Novo Horizonte;1
Mococa;2
Itu;2
Capivari;2
Marilia;2
Ubarana;1
MoncoEs;1
Charqueada;2
Ibirarema;1
Nhandeara;1
Maracai;1
Florida Paulista;1
Bebedouro;2
Santa Cruz das Palmeiras;1
Tupa;1
Ituverava;1
Jaborandi;1
Botucatu;1
Maraba Paulista;1
Taubate;1
Piquerobi;1
Brotas;1
Miracatu;1
Itirapina;1
Presidente Epitacio;1
Arealva;1
Miguelopolis;1
Capivari;2
Sabino;1
Monte Mor;2
Aracatuba;1
Ipua;2
Itapolis;1
Cananeia;1
Presidente Venceslau;1
Miracatu;1
Itapeva;1
Teodoro Sampaio;1
Guatapara;1
Mogi Guacu;1
Sao Paulo;3
Itapetininga;1
Ilha Solteira;1
Arco-Iris;1
Cachoeira Paulista;2
Divinolandia;1
Vista Alegre do Alto;1
Sao Roque;3
Sao Paulo;1
Araras;2
Franca;1
Assis;1
Sete Barras;2
Flora Rica;1
Ribeirao Bonito;1
Colombia;1
Ilha Comprida;1
Espirito Santo do Turvo;1
Restinga;2
Pederneiras;2
Itapirapua Paulista;1
Ribeirao Preto;2
Descalvado;1
Sao Miguel Arcanjo;1
Novo Horizonte;1
Sao Paulo;3
Itanhaem;2
Ipaussu;1
Cajuru;1
Cunha;1
Bertioga;2
Aguas de Santa Barbara;1
Ibate;1
Sao Pedro;1
Echapora;1
Santana da Ponte Pensa;1
Presidente Prudente;2
Tejupa;1
Serra Azul;1
Sud Mennucci;1
Salesopolis;1
Itapecerica da Serra;3
Pereira Barreto;1
Espirito Santo do Pinhal;1
Cajati;1
Pontal;1
Bocaina;2
Arco-Iris;1
Cerquilho;2
Ubatuba;1
Mogi das Cruzes;1
Jau;2
Pederneiras;2
Paulo de Faria;1
Birigui;2
Agudos;1
Duartina;2
Tanabi;1
Sao Vicente;3
Itatinga;1
Euclides da Cunha Paulista;1
Cachoeira Paulista;1
Paranapanema;1
Cubatao;3
Cafelandia;1
Sao Jose do Rio Preto;2
Caconde;1
Avanhandava;2
Teodoro Sampaio;1
Sao Jose dos Campos;2
Jambeiro;1
Guaratingueta;1
Paulo de Faria;1
Barao de Antonina;1
Sao Bernardo do Campo;2
Fartura;1
Promissao;1
Praia Grande;2
Igarata;1
Itapira;2
Nova Canaa Paulista;1
Oleo;1
Nova Independencia;1
Anhumas;1
Sud Mennucci;1
Lutecia;1
Santo Antonio do Pinhal;1
Mococa;1
Santa Adelia;1
Queluz;1
Bofete;1
Santopolis do Aguapei;1
Ubatuba;2
Mirassol;3
Agudos;2
Junqueiropolis;1
Cacapava;2
Novo Horizonte;1
Arandu;1
Cananeia;1
Lorena;1
Monte Alto;2
Palmares Paulista;2
Orindiuva;1
Jacarei;3
Santa Cruz do Rio Pardo;1
Florida Paulista;1
Piratininga;1
Indaiatuba;2
Mogi das Cruzes;1
Palestina;1
Mococa;2
Vitoria Brasil;1
Fernandopolis;2
Sorocaba;2
Jaboticabal;1
Sandovalina;1
Quadra;1
Orlandia;2
Sao Carlos;1
Apiai;1
Rancharia;1
Aguas de Lindoia;1
Itaoca;1
Sao Paulo;1
Piracicaba;1
Teodoro Sampaio;1
Descalvado;2
Pereira Barreto;1
Flora Rica;1
Sao Jose da Bela Vista;1
Mirandopolis;1
Bariri;1
Sao Jose do Barreiro;1
Sao Sebastiao da Grama;2
Sorocaba;2
Brodowski;1
Morro Agudo;1
Bertioga;2
Anhembi;1
Morro Agudo;2
Itapeva;1
Cristais Paulista;1
Itarare;1
Guarulhos;3
Presidente Epitacio;1
Piracicaba;2
Valinhos;3
Luiziania;1
Porangaba;1
Bora;1
Tatui;2
Ribeirao Grande;1
Itapui;2
Ibitinga;2
Peruibe;2
Agudos;1
Santo Antonio da Alegria;1
Laranjal Paulista;1
Itatinga;1
Caiua;1
Rubiacea;1
Pedregulho;1
Catanduva;1
Itirapina;1
Itabera;1
Poloni;1
Igarata;2
Guara;1
Piquerobi;1
Cabreuva;2
Novo Horizonte;2
Sarapui;1
Bofete;1
Sao Paulo;3
Santa Adelia;1
Presidente Bernardes;1
Castilho;1
Lins;1
Iaras;1
Olimpia;2
Olimpia;1
Marilia;1
Mirandopolis;2
Barretos;1
Sao Jose dos Campos;3
Ribeirao do Sul;1
Avare;1
Mogi Mirim;2
Buritama;2
Queiroz;1
Buri;1
Boa Esperanca do Sul;1
Magda;1
Itaporanga;1
Itirapua;1
Sumare;3
Parapua;1
Martinopolis;1
Indaiatuba;3
Cardoso;1
Lavinia;1
Santa Isabel;2
Palestina;1
Sorocaba;3
Pilar do Sul;2
Guaicara;1
Erro;1
Leme;1
Mogi Guacu;2
Sertaozinho;2
Jales;1
Platina;1
Mococa;1
Morro Agudo;1
Anhembi;1
Viradouro;1
Sao Jose dos Campos;2
Junqueiropolis;1
Cacapava;1
Pirapozinho;1
Sorocaba;2
Corumbatai;2
Salto Grande;2
Avare;2
Pontes Gestal;1
Braganca Paulista;2
Buri;1
Joanopolis;1
Sao Jose do Rio Pardo;1
Lupercio;1
Guapiacu;1
Itatinga;1
Tapirai;1
Jardinopolis;1
Bariri;1
Santa Rita do Passa Quatro;1
Jacarei;2
Itapura;1
Estrela D'Oeste;1
Adamantina;1
Paraguacu Paulista;1
Sandovalina;1
Avare;1
Sao Jose dos Campos;1
Juquitiba;1
Iaras;1
Santa Rita do Passa Quatro;2
Maracai;1
Rancharia;1
Monte Azul Paulista;1
Sao Carlos;1
Ribeirao Branco;1
Ibiuna;1
Casa Branca;1
Bebedouro;2
Colina;1
Sao Manuel;2
Iacri;1
Jarinu;2
Dirce Reis;1
Caiabu;1
Presidente Venceslau;1
Sete Barras;1
Itatinga;1
Sao Pedro do Turvo;1
Olimpia;1
Bento de Abreu;1
Rancharia;1
Pedregulho;1
Aracatuba;1
Fartura;1
Itai;2
Garca;1
Amparo;2
Pedregulho;1
Iaras;1
Porangaba;1
Itapetininga;1
Peruibe;1
Adolfo;1
Murutinga do Sul;1
Bilac;1
Miracatu;1
Iguape;1
Presidente Venceslau;1
Presidente Prudente;1
Piratininga;2
Pereira Barreto;1
Iacri;1
Aguai;1
Tabapua;1
Campos Novos Paulista;1
Miracatu;1
Barretos;1
Iguape;1
Joao Ramalho;1
General Salgado;1
Barra do Turvo;1
Borborema;2
Paranapanema;1
Arealva;1
Buri;1
Colombia;1
Casa Branca;1
Ibiuna;1
Ribeirao Bonito;1
Barra do Chapeu;1
Adamantina;2
Cananeia;1
Valparaiso;2
Santa Rita do Passa Quatro;1
Juquitiba;1
Sao Paulo;3
Pitangueiras;1
Santa Rita do Passa Quatro;1
Jacupiranga;1
Jose Bonifacio;1
Guatapara;1
Lucianopolis;1
Tapirai;1
Nantes;1
Registro;1
Buri;1
Santana da Ponte Pensa;1
Itatinga;1
Municipio de Aracariguama;3
Santa Cruz do Rio Pardo;1
Guaraci;1
Mineiros do Tiete;1
Serra Azul;1
Braganca Paulista;2
Coronel Macedo;1
Nuporanga;2
Piracicaba;2
Juquia;1
Sales Oliveira;1
Cajamar;3
Campos Novos Paulista;1
Cardoso;1
Boa Esperanca do Sul;1
Itai;1
Ocaucu;1
Narandiba;1
Itapetininga;1
Erro;2
Erro;2
Martinopolis;1
Agudos;1
Riolandia;1
Cajuru;1
Cunha;1
Itarare;1
Promissao;2
Monte Azul Paulista;1
Barretos;1
Pratania;1
Mogi Guacu;1
Ibiuna;2
Novo Horizonte;1
Bebedouro;2
Ribeirao Bonito;1
Cordeiropolis;2
Itatinga;2
Emilianopolis;1
Rinopolis;1
Sao Pedro do Turvo;1
General Salgado;1
Salesopolis;1
Brotas;1
Castilho;1
Itabera;1
Santo Anastacio;1
Altinopolis;1
Itapetininga;1
Pedreira;2
Zacarias;1
Jumirim;2
Monte Aprazivel;2
Gaviao Peixoto;1
Altinopolis;1
Barra do Turvo;1
Sao Paulo;3
Guaira;1
Pompeia;1
Cafelandia;1
Birigui;1
Riversul;1
Votuporanga;1
Guaira;1
Pitangueiras;1
Santa Gertrudes;2
Getulina;1
Ibiuna;1
Sao Luiz do Paraitinga;1
Zacarias;1
Itarare;1
Tanabi;2
Taruma;1
Suzano;2
Jaboticabal;2
Uru;1
Lencois Paulista;1
Presidente Bernardes;1
Orindiuva;1
Pedro de Toledo;1
Ituverava;1
Pompeia;1
Guararapes;1
Auriflama;1
Salto de Pirapora;2
Itapeva;1
Pedra Bela;1
Monte Castelo;1
Capao Bonito;1
Candido Mota;1
Itarare;1
Guarulhos;3
Oscar Bressane;1
Cafelandia;1
Itatiba;2
Caconde;1
Itapirapua Paulista;1
Itapetininga;1
Brotas;1
Silveiras;1
Taciba;1
Turmalina;1
Pilar do Sul;1
Araraquara;2
Serra Negra;2
Presidente Bernardes;1
Vargem;1
Alvares Florence;1
Chavantes;2
Itai;1
Sao Miguel Arcanjo;1
Cabralia Paulista;1
Itapolis;2
Descalvado;1
Guarani D'Oeste;1
Fartura;1
Ibira;1
Capao Bonito;1
Rincao;1
Cruzeiro;1
Sagres;1
Pardinho;1
Pederneiras;2
Presidente Alves;1
Mococa;2
Aparecida D'Oeste;1
Ubatuba;1
Candido Mota;1
Mirante do Paranapanema;1
Batatais;1
Florida Paulista;1
Paraguacu Paulista;1
Lavinia;1
Socorro;1
Biritiba-Mirim;1
Itapira;1
Miracatu;1
Piedade;1
Rancharia;1
Promissao;1
Quata;1
Miguelopolis;1
Anhumas;1
Nova Castilho;1
Redencao da Serra;1
Maraba Paulista;1
Maraba Paulista;1
Mirandopolis;1
Apiai;1
Caconde;1
Candido Mota;1
Caraguatatuba;1
Icem;1
Miracatu;1
Irapua;1
Presidente Epitacio;1
Piedade;2
Junqueiropolis;1
Taubate;1
Indiana;2
Caieiras;3
Assis;2
Itarare;1
Ubatuba;1
Lencois Paulista;1
Pedro de Toledo;1
Avai;1
Cerqueira Cesar;1
Taquarituba;1
Registro;1
Potirendaba;1
Sete Barras;1
Cunha;1
Avanhandava;1
Cotia;1
Barra do Turvo;1
Morungaba;2
Guararapes;1
Olimpia;2
Duartina;1
Pauliceia;1
Socorro;1
Santa Rosa de Viterbo;1
Lutecia;1
Redencao da Serra;1
Fernandopolis;1
Andradina;1
Iguape;1
Irapua;1
Avare;1
Sao Jose dos Campos;1
Silveiras;1
Paranapanema;1
Regente Feijo;1
Brauna;1
Sao Carlos;1
Altair;1
Pindamonhangaba;2
Amparo;1
Iguape;1
Sao Miguel Arcanjo;1
Sao Simao;1
Parapua;1
Boituva;2
Marilia;1
Braganca Paulista;2
Pradopolis;1
Piracaia;1
Itapeva;1
Clementina;1
Americo de Campos;1
Dois Corregos;1
Sao Joaquim da Barra;1
Presidente Epitacio;1
Cafelandia;1
Orindiuva;1
Araraquara;1
Itajobi;1
Dolcinopolis;1
Pontal;2
Mairipora;3
Tarabai;1
Rio das Pedras;2
Sao Jose da Bela Vista;1
Tapirai;1
Batatais;2
Paraguacu Paulista;1
Riversul;1
Pinhalzinho;1
Santa Maria da Serra;1
Tiete;1
Brejo Alegre;1
Barueri;3
Euclides da Cunha Paulista;1
