CITY;CLASS
SETE BARRAS;1
MURUTINGA DO SUL;1
GUARACI;1
ARACARIGUAMA;2
IACANGA;1
GARCA;1
TAMBAU;1
BARBOSA;1
MICROREGION OF CARAGUATATUBA;3
LARANJAL PAULISTA;2
PEDREGULHO;1
CATIGUA;2
RIO CLARO;2
ITANHAEM;1
ARAPEI;1
SANTANA DE PARNAIBA;3
SANTA MARIA DA SERRA;1
PALMITAL;1
MAGDA;1
ARARAS;1
ESPIRITO SANTO DO PINHAL;1
UBIRAJARA;1
GASTAO VIDIGAL;1
CAIABU;1
COROADOS;1
SAO PAULO;3
SAO LUIS DO PARAITINGA;1
BARRA DO CHAPEU;1
CASA BRANCA;1
RIFAINA;1
ITAPIRAPUA PAULISTA;1
BURI;1
SANTO ANTONIO DA ALEGRIA;2
SAO SIMAO;1
CAMPINAS;3
PEREIRA BARRETO;1
ARTUR NOGUEIRA;2
ITAPEVA;1
SAO SEBASTIAO;1
IGUAPE;1
SERRANA;2
SAO CARLOS;1
BOREBI;1
GUAIRA;1
REGINOPOLIS;1
SAO JOAQUIM DA BARRA;2
JOSE BONIFACIO;1
JACUPIRANGA;1
IEPE;1
IGUAPE;1
SALES;1
PITANGUEIRAS;1
ARARAQUARA;2
CAMPINA DO MONTE ALEGRE;1
JAGUARIUNA;2
ITABERA;1
ITAJU;1
BARRA DO TURVO;1
MORRO AGUDO;1
NOVA CAMPINA;1
VALENTIM GENTIL;2
OCAUCU;1
PRESIDENTE EPITACIO;1
ICEM;1
ITAJOBI;1
ILHA SOLTEIRA;1
SAO BERNARDO DO CAMPO;3
SANTA RITA D'OESTE;1
LIMEIRA;3
FERNAO;1
RIOLANDIA;1
GUATAPARA;1
BARRETOS;1
MIRASSOLANDIA;1
IRACEMAPOLIS;2
GAVIAO PEIXOTO;1
BEBEDOURO;1
LINS;1
PONTES GESTAL;1
JUQUITIBA;1
IGARACU DO TIETE;1
POMPEIA;1
SANTO ANTONIO DO ARACANGUA;1
BOA ESPERANCA DO SUL;1
GUZOLANDIA;1
TARUMA;1
SANTO ANTONIO DO ARACANGUA;1
SAO JOSE DO RIO PARDO;1
CASTILHO;1
BERNARDINO DE CAMPOS;1
BILAC;1
TIETE;2
GETULINA;1
IBIRA;2
SANTOS;3
TEODORO SAMPAIO;1
MACAUBAL;1
CRUZALIA;1
TAQUARITUBA;1
TEODORO SAMPAIO;1
BEBEDOURO;1
LINS;2
PIRATININGA;1
PRESIDENTE BERNARDES;2
CUNHA;1
LINS;1
ANDRADINA;1
POMPEIA;2
ERRO;1
BALSAMO;2
PROMISSAO;1
GUARAREMA;1
CACONDE;1
SAO JOSE DO BARREIRO;1
GUARUJA;2
NOVA GRANADA;1
SANTA CRUZ DO RIO PARDO;1
LOURDES;1
LAGOINHA;1
ITOBI;1
SANTO ANASTACIO;1
SAO LOURENCO DA SERRA;1
PALESTINA;1
RIOLANDIA;1
CORONEL MACEDO;1
SAO FRANCISCO;1
JOAO RAMALHO;1
SANTA RITA D'OESTE;1
GUARATINGUETA;2
ITAI;1
FARTURA;1
ALVARES FLORENCE;1
UBATUBA;1
SANTA CRUZ DO RIO PARDO;1
SAO LUIS DO PARAITINGA;1
IEPE;1
OSVALDO CRUZ;1
BAURU;2
RIBEIRAO PIRES;2
MANDURI;1
ILHA COMPRIDA;1
BOA ESPERANCA DO SUL;1
HOLAMBRA;3
ITARARE;1
SAO CARLOS;1
BATATAIS;1
PARDINHO;1
JOSE BONIFACIO;1
GUARA;1
ITABERA;1
ALAMBARI;1
PINDAMONHANGABA;2
BORBOREMA;1
AMERICANA;3
MIRANTE DO PARANAPANEMA;1
ALVINLANDIA;1
CAPAO BONITO;1
JARDINOPOLIS;2
TAPIRATIBA;1
IBITINGA;1
SANTA BARBARA D'OESTE;3
BARRETOS;1
RIBEIRAO BONITO;1
MIRANTE DO PARANAPANEMA;1
ITAPIRA;2
MERIDIANO;1
ANALANDIA;1
JUNQUEIROPOLIS;1
PIRANGI;2
REDENCAO DA SERRA;1
PATROCINIO PAULISTA;1
ITAQUAQUECETUBA;3
BOFETE;1
ITAPOLIS;1
LENCOIS PAULISTA;1
APIAI;1
PEDREGULHO;1
MOGI MIRIM;3
ERRO;1
IACANGA;1
MONTE MOR;3
MARABA PAULISTA;1
CASTILHO;1
CORUMBATAI;2
CASTILHO;1
MARTINOPOLIS;1
SOROCABA;3
NOVO HORIZONTE;2
MOCOCA;1
ITU;2
CAPIVARI;2
MARILIA;2
UBARANA;1
MONCOES;1
CHARQUEADA;2
IBIRAREMA;2
NHANDEARA;1
MARACAI;1
FLORIDA PAULISTA;1
BEBEDOURO;1
SANTA CRUZ DAS PALMEIRAS;1
TUPA;1
ITUVERAVA;1
JABORANDI;1
BOTUCATU;1
MARABA PAULISTA;1
TAUBATE;1
PIQUEROBI;1
BROTAS;1
MIRACATU;1
ITIRAPINA;1
PRESIDENTE EPITACIO;1
AREALVA;1
MIGUELOPOLIS;1
CAPIVARI;2
SABINO;1
MONTE MOR;2
ARACATUBA;1
IPUA;1
ITAPOLIS;1
CANANEIA;1
PRESIDENTE VENCESLAU;1
MIRACATU;1
ITAPEVA;1
TEODORO SAMPAIO;1
GUATAPARA;1
MOGI GUACU;1
SAO PAULO;3
ITAPETININGA;1
ILHA SOLTEIRA;1
ARCO-IRIS;1
CACHOEIRA PAULISTA;2
DIVINOLANDIA;1
VISTA ALEGRE DO ALTO;2
SAO ROQUE;3
SAO PAULO;1
ARARAS;2
FRANCA;2
ASSIS;1
SETE BARRAS;1
FLORA RICA;1
RIBEIRAO BONITO;1
COLOMBIA;1
ILHA COMPRIDA;1
ESPIRITO SANTO DO TURVO;1
RESTINGA;2
PEDERNEIRAS;2
ITAPIRAPUA PAULISTA;1
RIBEIRAO PRETO;2
DESCALVADO;1
SAO MIGUEL ARCANJO;1
NOVO HORIZONTE;1
SAO PAULO;3
ITANHAEM;2
IPAUSSU;1
CAJURU;1
CUNHA;1
BERTIOGA;2
AGUAS DE SANTA BARBARA;1
IBATE;1
SAO PEDRO;1
ECHAPORA;1
SANTANA DA PONTE PENSA;1
PRESIDENTE PRUDENTE;1
TEJUPA;1
SERRA AZUL;1
SUD MENNUCCI;1
SALESOPOLIS;1
ITAPECERICA DA SERRA;3
PEREIRA BARRETO;1
ESPIRITO SANTO DO PINHAL;1
CAJATI;1
PONTAL;2
BOCAINA;2
ARCO-IRIS;1
CERQUILHO;2
UBATUBA;1
MOGI DAS CRUZES;1
JAU;2
PEDERNEIRAS;1
PAULO DE FARIA;1
BIRIGUI;2
AGUDOS;1
DUARTINA;2
TANABI;1
SAO VICENTE;3
ITATINGA;1
EUCLIDES DA CUNHA PAULISTA;1
CACHOEIRA PAULISTA;1
PARANAPANEMA;1
CUBATAO;3
CAFELANDIA;1
SAO JOSE DO RIO PRETO;2
CACONDE;1
AVANHANDAVA;2
TEODORO SAMPAIO;1
SAO JOSE DOS CAMPOS;2
JAMBEIRO;1
GUARATINGUETA;1
PAULO DE FARIA;1
BARAO DE ANTONINA;1
SAO BERNARDO DO CAMPO;2
FARTURA;1
PROMISSAO;1
PRAIA GRANDE;2
IGARATA;1
ITAPIRA;2
NOVA CANAA PAULISTA;1
OLEO;1
NOVA INDEPENDENCIA;1
ANHUMAS;1
SUD MENNUCCI;1
LUTECIA;1
SANTO ANTONIO DO PINHAL;1
MOCOCA;1
SANTA ADELIA;1
QUELUZ;1
BOFETE;1
SANTOPOLIS DO AGUAPEI;1
UBATUBA;2
MIRASSOL;3
AGUDOS;2
JUNQUEIROPOLIS;1
CACAPAVA;2
NOVO HORIZONTE;1
ARANDU;2
CANANEIA;1
LORENA;1
MONTE ALTO;2
PALMARES PAULISTA;2
ORINDIUVA;1
JACAREI;3
SANTA CRUZ DO RIO PARDO;1
FLORIDA PAULISTA;1
PIRATININGA;1
INDAIATUBA;2
MOGI DAS CRUZES;1
PALESTINA;1
MOCOCA;2
VITORIA BRASIL;1
FERNANDOPOLIS;2
SOROCABA;2
JABOTICABAL;1
SANDOVALINA;1
QUADRA;1
ORLANDIA;1
SAO CARLOS;1
APIAI;1
RANCHARIA;1
AGUAS DE LINDOIA;1
ITAOCA;1
SAO PAULO;1
PIRACICABA;1
TEODORO SAMPAIO;1
DESCALVADO;2
PEREIRA BARRETO;2
FLORA RICA;1
SAO JOSE DA BELA VISTA;1
MIRANDOPOLIS;1
BARIRI;1
SAO JOSE DO BARREIRO;1
SAO SEBASTIAO DA GRAMA;1
SOROCABA;2
BRODOWSKI;1
MORRO AGUDO;1
BERTIOGA;2
ANHEMBI;1
MORRO AGUDO;2
ITAPEVA;1
CRISTAIS PAULISTA;1
ITARARE;1
GUARULHOS;3
PRESIDENTE EPITACIO;1
PIRACICABA;2
VALINHOS;3
LUIZIANIA;1
PORANGABA;1
BORA;1
TATUI;2
RIBEIRAO GRANDE;1
ITAPUI;2
IBITINGA;2
PERUIBE;2
AGUDOS;1
SANTO ANTONIO DA ALEGRIA;1
LARANJAL PAULISTA;1
ITATINGA;1
CAIUA;1
RUBIACEA;1
PEDREGULHO;1
CATANDUVA;1
ITIRAPINA;1
ITABERA;1
POLONI;1
IGARATA;2
GUARA;1
PIQUEROBI;1
CABREUVA;2
NOVO HORIZONTE;1
SARAPUI;1
BOFETE;1
SAO PAULO;3
SANTA ADELIA;1
PRESIDENTE BERNARDES;1
CASTILHO;1
LINS;1
IARAS;1
OLIMPIA;2
OLIMPIA;1
MARILIA;1
MIRANDOPOLIS;2
BARRETOS;1
SAO JOSE DOS CAMPOS;3
RIBEIRAO DO SUL;1
AVARE;1
MOGI MIRIM;2
BURITAMA;2
QUEIROZ;1
BURI;1
BOA ESPERANCA DO SUL;1
MAGDA;1
ITAPORANGA;1
ITIRAPUA;1
SUMARE;3
PARAPUA;1
MARTINOPOLIS;1
INDAIATUBA;3
CARDOSO;1
LAVINIA;1
SANTA ISABEL;2
PALESTINA;1
SOROCABA;3
PILAR DO SUL;1
GUAICARA;1
ERRO;1
LEME;1
MOGI GUACU;2
SERTAOZINHO;1
JALES;1
PLATINA;1
MOCOCA;1
MORRO AGUDO;1
ANHEMBI;1
VIRADOURO;1
SAO JOSE DOS CAMPOS;2
JUNQUEIROPOLIS;1
CACAPAVA;1
PIRAPOZINHO;1
SOROCABA;2
CORUMBATAI;2
SALTO GRANDE;2
AVARE;2
PONTES GESTAL;1
BRAGANCA PAULISTA;2
BURI;1
JOANOPOLIS;1
SAO JOSE DO RIO PARDO;2
LUPERCIO;1
GUAPIACU;1
ITATINGA;1
TAPIRAI;1
JARDINOPOLIS;2
BARIRI;1
SANTA RITA DO PASSA QUATRO;2
JACAREI;1
ITAPURA;1
ESTRELA D'OESTE;1
ADAMANTINA;1
PARAGUACU PAULISTA;1
SANDOVALINA;1
AVARE;1
SAO JOSE DOS CAMPOS;1
JUQUITIBA;1
IARAS;1
SANTA RITA DO PASSA QUATRO;2
MARACAI;1
RANCHARIA;1
MONTE AZUL PAULISTA;1
SAO CARLOS;1
RIBEIRAO BRANCO;1
IBIUNA;1
CASA BRANCA;2
BEBEDOURO;2
COLINA;2
SAO MANUEL;3
IACRI;1
JARINU;2
DIRCE REIS;1
CAIABU;1
PRESIDENTE VENCESLAU;2
SETE BARRAS;1
ITATINGA;1
SAO PEDRO DO TURVO;1
OLIMPIA;1
BENTO DE ABREU;1
RANCHARIA;1
PEDREGULHO;1
ARACATUBA;1
FARTURA;1
ITAI;2
GARCA;1
AMPARO;2
PEDREGULHO;1
IARAS;1
PORANGABA;1
ITAPETININGA;1
PERUIBE;1
ADOLFO;1
MURUTINGA DO SUL;1
BILAC;1
MIRACATU;1
IGUAPE;1
PRESIDENTE VENCESLAU;1
PRESIDENTE PRUDENTE;1
PIRATININGA;2
PEREIRA BARRETO;1
IACRI;1
AGUAI;1
TABAPUA;1
CAMPOS NOVOS PAULISTA;1
MIRACATU;1
BARRETOS;1
IGUAPE;1
JOAO RAMALHO;1
GENERAL SALGADO;1
BARRA DO TURVO;1
BORBOREMA;1
PARANAPANEMA;1
AREALVA;1
BURI;1
COLOMBIA;1
CASA BRANCA;1
IBIUNA;1
RIBEIRAO BONITO;1
BARRA DO CHAPEU;1
ADAMANTINA;2
CANANEIA;1
VALPARAISO;1
SANTA RITA DO PASSA QUATRO;1
JUQUITIBA;1
SAO PAULO;3
PITANGUEIRAS;2
SANTA RITA DO PASSA QUATRO;1
JACUPIRANGA;1
JOSE BONIFACIO;1
GUATAPARA;1
LUCIANOPOLIS;1
TAPIRAI;1
NANTES;1
REGISTRO;1
BURI;1
SANTANA DA PONTE PENSA;1
ITATINGA;1
MUNICIPIO DE ARACARIGUAMA;3
SANTA CRUZ DO RIO PARDO;1
GUARACI;1
MINEIROS DO TIETE;1
SERRA AZUL;1
BRAGANCA PAULISTA;2
CORONEL MACEDO;1
NUPORANGA;2
PIRACICABA;1
JUQUIA;1
SALES OLIVEIRA;1
CAJAMAR;3
CAMPOS NOVOS PAULISTA;1
CARDOSO;1
BOA ESPERANCA DO SUL;1
ITAI;1
OCAUCU;1
NARANDIBA;1
ITAPETININGA;1
ERRO;2
ERRO;3
MARTINOPOLIS;1
AGUDOS;1
RIOLANDIA;1
CAJURU;1
CUNHA;1
ITARARE;1
PROMISSAO;2
MONTE AZUL PAULISTA;2
BARRETOS;1
PRATANIA;1
MOGI GUACU;1
IBIUNA;3
NOVO HORIZONTE;1
BEBEDOURO;2
RIBEIRAO BONITO;1
CORDEIROPOLIS;2
ITATINGA;1
EMILIANOPOLIS;1
RINOPOLIS;1
SAO PEDRO DO TURVO;1
GENERAL SALGADO;1
SALESOPOLIS;1
BROTAS;1
CASTILHO;1
ITABERA;1
SANTO ANASTACIO;2
ALTINOPOLIS;1
ITAPETININGA;1
PEDREIRA;2
ZACARIAS;1
JUMIRIM;2
MONTE APRAZIVEL;2
GAVIAO PEIXOTO;1
ALTINOPOLIS;1
BARRA DO TURVO;1
SAO PAULO;3
GUAIRA;1
POMPEIA;1
CAFELANDIA;1
BIRIGUI;1
RIVERSUL;1
VOTUPORANGA;1
GUAIRA;1
PITANGUEIRAS;1
SANTA GERTRUDES;3
GETULINA;1
IBIUNA;1
SAO LUIZ DO PARAITINGA;1
ZACARIAS;1
ITARARE;1
TANABI;1
TARUMA;1
SUZANO;3
JABOTICABAL;2
URU;1
LENCOIS PAULISTA;1
PRESIDENTE BERNARDES;1
ORINDIUVA;1
PEDRO DE TOLEDO;1
ITUVERAVA;1
POMPEIA;1
GUARARAPES;1
AURIFLAMA;1
SALTO DE PIRAPORA;2
ITAPEVA;1
PEDRA BELA;1
MONTE CASTELO;1
CAPAO BONITO;1
CANDIDO MOTA;1
ITARARE;1
GUARULHOS;3
OSCAR BRESSANE;1
CAFELANDIA;1
ITATIBA;3
CACONDE;1
ITAPIRAPUA PAULISTA;1
ITAPETININGA;1
BROTAS;1
SILVEIRAS;1
TACIBA;1
TURMALINA;1
PILAR DO SUL;1
ARARAQUARA;1
SERRA NEGRA;2
PRESIDENTE BERNARDES;1
VARGEM;1
ALVARES FLORENCE;1
CHAVANTES;2
ITAI;1
SAO MIGUEL ARCANJO;1
CABRALIA PAULISTA;1
ITAPOLIS;2
DESCALVADO;1
GUARANI D'OESTE;1
FARTURA;1
IBIRA;1
CAPAO BONITO;1
RINCAO;1
CRUZEIRO;1
SAGRES;1
PARDINHO;1
PEDERNEIRAS;2
PRESIDENTE ALVES;1
MOCOCA;2
APARECIDA D'OESTE;1
UBATUBA;1
CANDIDO MOTA;1
MIRANTE DO PARANAPANEMA;1
BATATAIS;1
FLORIDA PAULISTA;1
PARAGUACU PAULISTA;1
LAVINIA;1
SOCORRO;1
BIRITIBA-MIRIM;1
ITAPIRA;1
MIRACATU;1
PIEDADE;1
RANCHARIA;1
PROMISSAO;1
QUATA;1
MIGUELOPOLIS;1
ANHUMAS;1
NOVA CASTILHO;1
REDENCAO DA SERRA;1
MARABA PAULISTA;1
MARABA PAULISTA;1
MIRANDOPOLIS;1
APIAI;1
CACONDE;1
CANDIDO MOTA;1
CARAGUATATUBA;1
ICEM;1
MIRACATU;1
IRAPUA;1
PRESIDENTE EPITACIO;1
PIEDADE;2
JUNQUEIROPOLIS;1
TAUBATE;1
INDIANA;1
CAIEIRAS;3
ASSIS;2
ITARARE;1
UBATUBA;1
LENCOIS PAULISTA;1
PEDRO DE TOLEDO;1
AVAI;1
CERQUEIRA CESAR;1
TAQUARITUBA;2
REGISTRO;1
POTIRENDABA;1
SETE BARRAS;1
CUNHA;1
AVANHANDAVA;1
COTIA;1
BARRA DO TURVO;1
MORUNGABA;2
GUARARAPES;2
OLIMPIA;2
DUARTINA;1
PAULICEIA;1
SOCORRO;1
SANTA ROSA DE VITERBO;1
LUTECIA;1
REDENCAO DA SERRA;1
FERNANDOPOLIS;1
ANDRADINA;1
IGUAPE;1
IRAPUA;1
AVARE;1
SAO JOSE DOS CAMPOS;1
SILVEIRAS;1
PARANAPANEMA;1
REGENTE FEIJO;1
BRAUNA;1
SAO CARLOS;1
ALTAIR;1
PINDAMONHANGABA;2
AMPARO;2
IGUAPE;1
SAO MIGUEL ARCANJO;1
SAO SIMAO;1
PARAPUA;1
BOITUVA;2
MARILIA;1
BRAGANCA PAULISTA;3
PRADOPOLIS;1
PIRACAIA;1
ITAPEVA;1
CLEMENTINA;1
AMERICO DE CAMPOS;1
DOIS CORREGOS;1
SAO JOAQUIM DA BARRA;1
PRESIDENTE EPITACIO;1
CAFELANDIA;1
ORINDIUVA;1
ARARAQUARA;1
ITAJOBI;1
DOLCINOPOLIS;1
PONTAL;2
MAIRIPORA;3
TARABAI;1
RIO DAS PEDRAS;2
SAO JOSE DA BELA VISTA;1
TAPIRAI;1
BATATAIS;2
PARAGUACU PAULISTA;1
RIVERSUL;1
PINHALZINHO;2
SANTA MARIA DA SERRA;1
TIETE;1
BREJO ALEGRE;1
BARUERI;3
EUCLIDES DA CUNHA PAULISTA;1
