;2010;;2011;;2012;;2013 (1);;;;;;
Guarulhos;  36 796 447;    30102,86;  40 340 068;    32705,44;  44 035 618;    35383,67;  49 392 842;    38016,46;;;;;
Guatapará;   136 019;    19526,17;   118 187;    16854,90;   101 282;    14354,00;   206 621;    28146,21;;;;;
Guzolândia;   43 414;    9132,18;   50 236;    10487,68;   46 782;    9697,67;   50 179;    9989,89;;;;;
Herculândia;   117 387;    13498,96;   141 512;    16170,95;   164 096;    18640,96;   179 962;    19659,35;;;;;
Holambra;   411 885;    36475,85;   475 051;    40906,80;   540 850;    45384,72;   603 033;    47456,78;;;;;
Hortolândia;  8 907 167;    46337,19;  9 242 091;    47207,47;  8 443 107;    42479,33;  9 202 710;    44002,84;;;;;
Iacanga;   235 188;    23495,26;   360 974;    35577,97;   386 101;    37576,74;   435 518;    40415,53;;;;;
Iacri;   90 868;    14156,02;   97 174;    15202,37;   108 581;    17059,00;   122 164;    18708,07;;;;;
Iaras;   76 490;    11994,63;   70 837;    10682,69;   65 125;    9468,53;   82 957;    11163,66;;;;;
Ibaté;   431 256;    14036,45;   524 420;    16883,01;   492 595;    15697,74;   550 441;    16776,62;;;;;
Ibirá;   114 883;    10570,79;   128 730;    11694,20;   155 684;    14006,69;   183 779;    15822,59;;;;;
Ibirarema;   138 255;    20558,36;   166 578;    24482,41;   137 302;    19956,73;   158 688;    22030,85;;;;;
Ibitinga;   784 529;    14756,21;   884 392;    16481,40;   981 620;    18129,13;  1 051 386;    18598,40;;;;;
Ibiúna;   788 084;    11064,25;   883 557;    12315,75;  1 047 843;    14503,21;  1 252 456;    16645,93;;;;;
Icém;   114 936;    15402,84;   114 489;    15234,78;   130 294;    17218,65;   153 612;    19501,29;;;;;
Iepê;   109 995;    14421,75;   133 216;    17397,88;   161 340;    20994,20;   161 412;    20262,58;;;;;
Igaraçu do Tietê;   182 197;    7796,19;   200 256;    8550,65;   213 092;    9077,39;   248 571;    10229,66;;;;;
Igarapava;   613 390;    21938,14;   742 137;    26403,05;   865 014;    30610,21;  1 007 773;    34318,84;;;;;
Igaratá;   97 725;    11073,60;   115 116;    12973,73;   123 311;    13835,00;   144 875;    15660,49;;;;;
Iguape;   256 876;    8905,69;   822 890;    28424,53;  1 111 832;    38266,47;  1 330 439;    44165,41;;;;;
Ilha Comprida;   88 632;    9818,59;   94 202;    10234,92;  1 399 690;   1 49284,30;  2 404 137;   2 42646,02;;;;;
Ilha Solteira;   320 260;    12774,11;   384 814;    15303,18;   442 150;    17527,57;   460 622;    17622,68;;;;;
Ilhabela;   376 015;    13345,22;   833 300;    28973,28;  1 162 045;    39649,40;  3 256 712;   1 05112,86;;;;;
Indaiatuba;  7 624 896;    37775,43;  8 135 157;    39527,89;  9 156 429;    43631,34;  10 303 802;    46404,74;;;;;
Indiana;   39 519;    8185,39;   41 246;    8562,66;   44 264;    9204,34;   50 827;    10265,94;;;;;
Indiaporã;   47 657;    12200,89;   47 466;    12195,79;   56 358;    14525,20;   61 142;    15331,44;;;;;
Inúbia Paulista;   76 986;    21208,23;   84 402;    23098,59;   99 767;    27125,46;   111 667;    29186,44;;;;;
Ipaussu;   236 091;    17175,23;   221 175;    16086,63;   275 351;    19908,27;   300 416;    20886,88;;;;;
Iperó;   318 005;    11236,53;   368 407;    12676,59;   361 017;    12115,47;   412 405;    12991,17;;;;;
Ipeúna;   197 468;    32823,78;   176 788;    28769,35;   193 881;    30921,94;   547 415;    82466,86;;;;;
Ipiguá;   49 087;    11008,53;   47 106;    10377,98;   51 015;    11058,89;   59 585;    12265,33;;;;;
Iporanga;   23 553;    5474,89;   25 768;    6022,03;   28 799;    6760,44;   37 258;    8527,80;;;;;
Ipuã;   210 044;    14848,32;   266 869;    18632,23;   278 697;    19231,09;   280 645;    18482,93;;;;;
Iracemápolis;   392 612;    19584,59;   449 476;    22062,36;   480 139;    23189,51;   551 599;    25285,29;;;;;
Irapuã;   71 355;    9796,11;   77 496;    10582,53;   85 207;    11562,91;   94 833;    12370,59;;;;;
Irapuru;   65 737;    8441,94;   71 877;    9197,34;   67 610;    8623,72;   70 732;    8707,62;;;;;
Itaberá;   204 855;    11469,39;   201 769;    11349,36;   313 239;    17698,14;   310 988;    17126,78;;;;;
Itaí;   314 802;    13108,55;   354 257;    14616,99;   407 723;    16671,01;   463 200;    18139,79;;;;;
Itajobi;   240 652;    16536,22;   253 528;    17386,39;   301 403;    20635,55;   392 941;    26015,69;;;;;
Itaju;   46 704;    14313,34;   60 095;    18249,34;   53 191;    15935,01;   50 597;    14435,59;;;;;
Itanhaém;   845 813;    9716,07;   941 580;    10673,81;  1 094 204;    12248,74;  1 306 101;    13939,78;;;;;
Itaóca;   18 863;    5843,68;   24 685;    7644,77;   25 879;    8014,50;   30 328;    9101,94;;;;;
Itapecerica da Serra;  2 847 785;    18688,70;  3 172 936;    20553,56;  3 117 805;    19976,07;  3 138 820;    19213,78;;;;;
Itapetininga;  2 510 806;    17385,93;  2 885 124;    19785,24;  3 045 295;    20685,48;  3 443 714;    22389,40;;;;;
Itapeva;  1 150 393;    13107,65;  1 298 494;    14734,01;  1 452 737;    16416,78;  1 740 298;    18956,05;;;;;
Itapevi;  5 718 598;    28468,58;  6 511 223;    31962,89;  7 821 246;    37864,65;  8 506 280;    39198,54;;;;;
Itapira;  1 902 593;    27829,93;  2 146 997;    31145,69;  2 401 930;    34651,38;  2 665 923;    37002,05;;;;;
Itapirapuã Paulista;   19 662;    5062,40;   21 855;    5598,13;   24 908;    6344,26;   26 979;    6610,79;;;;;
Itápolis;   919 872;    22960,07;  1 077 488;    26784,53;  1 211 936;    29999,16;  1 190 554;    28400,62;;;;;
Itaporanga;   114 448;    7868,04;   131 178;    9007,02;   150 937;    10353,03;   169 862;    11276,04;;;;;
Itapuí;   343 491;    28198,93;   416 092;    33795,64;   487 205;    39145,52;   503 132;    38634,14;;;;;
Itapura;   56 121;    12871,76;   79 659;    18116,60;   65 500;    14765,62;   68 816;    14866,25;;;;;
Itaquaquecetuba;  3 301 661;    10258,26;  3 807 396;    11696,42;  4 232 387;    12858,77;  5 060 802;    14687,81;;;;;
Itararé;   488 302;    10185,91;   531 121;    11055,80;   587 566;    12204,61;   685 033;    13750,70;;;;;
Itariri;   111 467;    7204,93;   121 385;    7774,12;   134 532;    8540,62;   190 146;    11565,37;;;;;
Itatiba;  3 381 243;    33329,15;  3 788 494;    36771,50;  3 920 532;    37505,21;  4 483 242;    40791,23;;;;;
Itatinga;   180 034;    9973,08;   200 317;    10974,49;   194 964;    10569,47;   202 795;    10509,14;;;;;
Itirapina;   355 885;    22918,92;   327 624;    20826,68;   293 612;    18431,41;   315 173;    18862,50;;;;;
Itirapuã;   44 276;    7486,71;   46 376;    7790,32;   70 051;    11694,74;   65 377;    10490,57;;;;;
Itobi;   53 755;    7124,58;   61 055;    8083,56;   79 048;    10457,50;   87 571;    11216,97;;;;;
Itu;  4 415 164;    28632,71;  5 506 803;    35393,27;  5 733 776;    36524,82;  6 660 940;    40644,73;;;;;
Itupeva;  2 330 251;    51985,52;  2 442 222;    52754,60;  2 681 423;    56235,53;  3 102 671;    60739,03;;;;;
Ituverava;   613 717;    15858,74;   729 354;    18758,14;   849 967;    21759,43;   996 474;    24572,73;;;;;
Jaborandi;   101 748;    15435,13;   92 700;    14034,83;   102 734;    15523,46;   115 036;    16803,36;;;;;
Jaboticabal;  1 577 099;    22005,92;  1 830 209;    25423,45;  1 990 622;    27530,90;  2 054 316;    27375,91;;;;;
Jacareí;  6 646 574;    31454,43;  7 273 463;    34188,80;  7 643 725;    35681,16;  8 290 851;    37168,04;;;;;
Jaci;   231 507;    40923,97;   263 520;    45623,19;   300 817;    51072,45;   303 539;    48698,65;;;;;
Jacupiranga;   273 295;    15892,94;   249 526;    14489,62;   291 494;    16913,88;   282 354;    15861,70;;;;;
Jaguariúna;  4 774 198;   1 07694,34;  4 835 435;   1 06411,28;  4 516 950;    97069,82;  6 163 748;   1 24527,70;;;;;
Jales;   722 371;    15365,68;   782 011;    16611,67;   897 416;    19038,46;  1 022 394;    20983,37;;;;;
Jambeiro;   201 034;    37576,47;   225 169;    41285,17;   258 902;    46615,34;   289 512;    49337,34;;;;;
Jandira;  2 177 168;    20077,91;  2 422 964;    22104,51;  2 609 425;    23541,84;  2 907 439;    25055,27;;;;;
Jardinópolis;   523 306;    13871,60;   580 072;    15187,53;   688 701;    17792,22;   776 184;    19099,01;;;;;
Jarinu;   573 103;    24052,67;   748 357;    30708,12;   866 162;    34820,58;  1 188 120;    45084,79;;;;;
Jaú;  2 351 803;    17943,38;  2 757 261;    20810,46;  3 031 800;    22642,27;  3 317 903;    23686,28;;;;;
Jeriquara;   44 609;    14081,07;   40 896;    12978,80;   59 026;    18786,10;   69 376;    21478,56;;;;;
Joanópolis;   100 285;    8519,65;   114 134;    9612,91;   126 342;    10551,34;   150 060;    12012,52;;;;;
João Ramalho;   84 858;    20507,05;   105 032;    25163,44;   102 269;    24367,21;   127 284;    29186,81;;;;;
José Bonifácio;   686 164;    20936,23;   806 011;    24369,93;   941 017;    28195,25;  1 058 441;    30374,83;;;;;
Júlio Mesquita;   30 157;    6807,52;   35 357;    7943,56;   34 799;    7784,94;   37 915;    8172,99;;;;;
Jumirim;   42 398;    15136,91;   50 858;    17876,19;   59 498;    20594,74;   63 925;    21013,99;;;;;
Jundiaí;  23 855 396;    64430,33;  27 666 707;    74031,96;  32 627 829;    86503,98;  36 622 896;    92970,39;;;;;
Junqueirópolis;   343 497;    18343,32;   349 808;    18548,58;   388 606;    20468,03;   456 429;    23092,81;;;;;
Juquiá;   213 109;    11059,71;   195 427;    10205,60;   244 380;    12825,00;   219 402;    11231,21;;;;;
Juquitiba;   303 587;    10566,15;   332 684;    11506,78;   362 423;    12462,55;   419 064;    13858,41;;;;;
Lagoinha;   39 944;    8252,99;   35 767;    7400,55;   40 454;    8386,03;   46 034;    9269,78;;;;;
Laranjal Paulista;   559 864;    22176,33;   611 992;    24009,09;   664 268;    25825,89;   695 440;    25898,02;;;;;
Lavínia;   97 080;    11054,41;   124 676;    13761,12;   118 025;    12650,09;   126 442;    12650,53;;;;;
Lavrinhas;   78 149;    11865,88;   85 072;    12821,77;   94 764;    14190,50;   102 436;    14739,01;;;;;
Leme;  1 645 110;    17919,81;  1 904 480;    20566,51;  2 125 316;    22750,85;  2 307 965;    23670,23;;;;;
Lençóis Paulista;  1 592 844;    25919,29;  1 840 298;    29721,05;  1 942 663;    31135,91;  2 151 298;    33083,65;;;;;
Limeira;  7 431 037;    26923,07;  8 378 257;    30127,54;  9 220 273;    32918,26;  10 392 186;    35620,42;;;;;
Lindóia;   69 294;    10330,00;   80 691;    11841,95;   97 346;    14083,60;   115 567;    15907,43;;;;;
Lins;  2 314 613;    32375,37;  2 384 174;    33181,28;  2 577 949;    35676,02;  2 853 763;    37990,91;;;;;
Lorena;  1 336 862;    16193,98;  1 420 310;    17135,50;  1 546 889;    18587,06;  1 630 272;    18882,66;;;;;
Lourdes;   28 255;    13309,07;   29 266;    13688,63;   29 469;    13725,74;   31 009;    13924,29;;;;;
Louveira;  7 437 541;   2 00186,83;  8 993 793;   2 35809,98;  10 036 499;   2 56543,61;  11 598 657;   2 78145,26;;;;;
Lucélia;   264 315;    13292,20;   277 470;    13871,41;   302 161;    15018,70;   328 019;    15681,19;;;;;
Lucianópolis;   23 462;    10404,46;   26 451;    11719,56;   28 401;    12544,68;   32 676;    13934,39;;;;;
Luís Antônio;   788 118;    69831,45;   887 486;    76487,65;  1 048 159;    88006,61;  1 048 118;    82502,96;;;;;
Luiziânia;   39 417;    7836,46;   45 277;    8897,13;   53 683;    10433,94;   54 100;    10048,33;;;;;
Lupércio;   36 857;    8467,14;   36 785;    8431,07;   48 095;    11000,77;   42 916;    9488,40;;;;;
Lutécia;   43 694;    16165,03;   46 609;    17262,47;   59 318;    22075,78;   72 788;    26430,09;;;;;
Macatuba;   349 568;    21517,15;   408 360;    25055,83;   407 620;    24952,24;   451 278;    26688,61;;;;;
Macaubal;   97 266;    12692,95;   101 854;    13253,66;   127 963;    16607,75;   127 506;    15982,16;;;;;
Macedônia;   51 978;    14186,06;   41 511;    11351,04;   50 275;    13774,02;   51 352;    13672,04;;;;;
Magda;   47 983;    14994,59;   65 916;    20702,11;   62 029;    19586,17;   70 683;    21775,56;;;;;
Mairinque;  1 168 680;    27037,13;  1 413 760;    32520,40;  1 571 587;    35951,57;  1 503 794;    33096,97;;;;;
Mairiporã;  1 134 607;    14021,34;  1 245 665;    15088,73;  1 303 822;    15502,49;  1 454 761;    16367,14;;;;;
Manduri;   71 684;    7965,82;   89 052;    9842,16;   99 662;    10950,69;   146 371;    15466,08;;;;;
Marabá Paulista;   92 840;    19293,40;   112 995;    23069,71;   108 430;    21768,67;   98 019;    18666,66;;;;;
Maracaí;   318 393;    23860,39;   463 812;    34721,65;   402 445;    30073,63;   413 866;    29899,32;;;;;
Marapoama;   70 937;    26941,50;   78 403;    29430,59;   87 538;    32505,84;   133 100;    47232,01;;;;;
Mariápolis;   42 036;    10734,32;   32 250;    8225,06;   36 977;    9418,39;   52 493;    12938,91;;;;;
Marília;  4 399 401;    20303,30;  4 900 190;    22454,35;  5 591 596;    25455,22;  8 514 175;    37241,93;;;;;
Marinópolis;   20 324;    9618,47;   19 796;    9395,56;   22 050;    10495,05;   24 098;    11156,62;;;;;
Martinópolis;   256 756;    10583,51;   331 601;    13610,83;   379 446;    15486,33;   387 813;    15224,47;;;;;
Matão;  2 126 847;    27693,69;  2 430 393;    31492,79;  2 979 554;    38423,06;  3 148 970;    39104,04;;;;;
Mauá;  9 491 250;    22745,46;  9 920 338;    23553,45;  9 185 135;    21603,49;  10 220 780;    23012,73;;;;;
Mendonça;   115 787;    24954,16;   140 590;    29861,96;   164 409;    34438,49;   168 668;    33639,32;;;;;
Meridiano;   100 243;    26030,50;   124 098;    32300,42;   124 971;    32629,47;   210 404;    53483,56;;;;;
Mesópolis;   48 944;    25951,42;   43 204;    22944,33;   41 603;    22129,31;   40 454;    20906,59;;;;;
Miguelópolis;   360 026;    17612,09;   420 982;    20474,78;   476 310;    23045,78;   536 465;    24985,58;;;;;
Mineiros do Tietê;   99 826;    8289,81;   119 161;    9858,58;   122 984;    10136,35;   135 835;    10795,16;;;;;
Mira Estrela;   28 116;    9945,66;   32 249;    11363,30;   33 842;    11857,88;   39 009;    13143,12;;;;;
Miracatu;   389 150;    18895,36;   344 867;    16859,77;   313 295;    15416,53;   442 187;    21269,23;;;;;
Mirandópolis;   327 318;    11913,29;   394 486;    14291,94;   452 068;    16310,14;   520 056;    18083,86;;;;;
Mirante do Paranapanema;   180 167;    10558,32;   211 428;    12346,87;   278 103;    16181,03;   299 118;    16785,54;;;;;
Mirassol;  1 006 962;    18713,63;  1 135 678;    20948,83;  1 309 400;    23973,78;  1 456 296;    25589,46;;;;;
Mirassolândia;   50 214;    11691,18;   50 341;    11604,61;   59 918;    13682,95;   62 858;    13742,52;;;;;
Mococa;  1 124 902;    16966,09;  1 252 481;    18878,31;  1 464 155;    22050,87;  1 709 115;    24917,85;;;;;
Mogi das Cruzes;  9 454 019;    24413,79;  10 338 885;    26361,53;  11 291 957;    28481,38;  12 917 527;    31133,55;;;;;
Mogi Guaçu;  3 568 767;    25995,13;  3 998 275;    28921,66;  4 417 904;    31735,30;  4 658 690;    32137,10;;;;;
Moji Mirim;  2 623 156;    30415,51;  2 906 429;    33448,75;  3 090 648;    35416,41;  3 390 654;    37441,80;;;;;
Mombuca;   43 793;    13408,86;   46 298;    14119,61;   55 031;    16721,60;   59 971;    17581,56;;;;;
Monções;   59 177;    27730,74;   46 062;    21544,55;   71 185;    33201,91;   52 467;    23644,55;;;;;
Mongaguá;   439 841;    9497,76;   497 544;    10551,69;   581 863;    12126,18;   692 371;    13672,13;;;;;
Monte Alegre do Sul;   123 497;    17277,20;   148 881;    20632,04;   152 936;    21013,47;   149 606;    19703,13;;;;;
Monte Alto;   989 970;    21222,59;  1 093 359;    23324,99;  1 289 001;    27367,33;  1 404 269;    28713,04;;;;;
Monte Aprazível;   397 776;    18290,22;   423 603;    19252,92;   490 677;    22052,92;   540 062;    23184,59;;;;;
Monte Azul Paulista;   299 825;    15837,76;   315 066;    16684,26;   385 979;    20489,40;   415 138;    21425,39;;;;;
Monte Castelo;   58 909;    14498,88;   57 947;    14265,63;   67 556;    16639,39;   72 251;    17256,11;;;;;
Monte Mor;  1 951 513;    39850,38;  2 337 788;    46904,92;  2 651 703;    52299,77;  2 777 872;    51934,49;;;;;
Monteiro Lobato;   39 813;    9656,27;   38 971;    9370,39;   43 115;    10272,89;   50 560;    11540,71;;;;;
Morro Agudo;   746 017;    25612,55;   827 543;    28147,74;   949 738;    32006,79;  1 038 242;    33501,40;;;;;
Morungaba;   330 295;    28050,52;   354 712;    29777,68;   370 876;    30778,08;   405 855;    32157,11;;;;;
Motuca;   70 331;    16394,22;   72 763;    16831,50;   63 454;    14573,69;   65 945;    14544,61;;;;;
Murutinga do Sul;   43 765;    10455,14;   45 930;    10927,98;   49 702;    11780,49;   52 437;    11985,66;;;;;
Nantes;   66 289;    24487,90;   71 789;    26190,98;   82 965;    29908,04;   77 684;    26741,46;;;;;
Narandiba;   156 959;    36595,74;   218 375;    50433,09;   188 938;    43225,41;   209 529;    45909,14;;;;;
Natividade da Serra;   46 299;    6930,00;   49 919;    7498,73;   47 836;    7207,52;   53 988;    7914,92;;;;;
Nazaré Paulista;   211 497;    12885,94;   215 765;    13022,97;   243 788;    14583,24;   291 184;    16685,81;;;;;
Neves Paulista;   139 982;    15948,75;   152 165;    17366,47;   142 219;    16249,90;   149 328;    16560,75;;;;;
Nhandeara;   179 510;    16737,51;   209 196;    19431,16;   231 615;    21433,91;   233 578;    20849,57;;;;;
Nipoã;   65 242;    15264,94;   74 486;    17115,44;   75 484;    17050,77;   76 285;    16338,53;;;;;
Nova Aliança;   65 382;    11098,63;   76 237;    12752,89;   80 192;    13230,77;   86 375;    13566,11;;;;;
Nova Campina;   197 835;    23233,70;   301 277;    34995,54;   296 487;    34079,01;   336 120;    36936,23;;;;;
Nova Canaã Paulista;   22 588;    10684,72;   24 243;    11621,95;   23 451;    11389,56;   26 175;    12541,83;;;;;
Nova Castilho;   27 688;    24567,51;   30 388;    26749,93;   28 813;    25142,33;   32 377;    27093,43;;;;;
Nova Europa;   185 748;    19970,74;   193 691;    20489,92;   264 938;    27594,78;   255 450;    25272,10;;;;;
Nova Granada;   217 871;    11360,46;   240 706;    12442,17;   274 882;    14091,48;   300 808;    14784,64;;;;;
Nova Guataporanga;   16 563;    7604,52;   17 653;    8083,10;   21 321;    9731,13;   25 984;    11446,70;;;;;
Nova Independência;   58 156;    18930,93;   72 138;    22929,95;   69 346;    21536,04;   76 053;    22218,16;;;;;
Nova Luzitânia;   27 765;    8069,00;   30 862;    8830,22;   32 140;    9063,78;   36 321;    9742,77;;;;;
Nova Odessa;  1 714 292;    33431,34;  1 977 175;    38062,11;  2 126 725;    40411,29;  2 404 550;    43537,81;;;;;
Novais;   40 888;    8898,30;   44 777;    9533,05;   52 852;    11013,09;   49 601;    9746,63;;;;;
Novo Horizonte;   614 481;    16783,58;   712 005;    19288,73;   777 750;    20894,90;   891 785;    22967,56;;;;;
Nuporanga;   292 134;    42853,76;   353 410;    51547,49;   378 858;    54954,73;   356 374;    49745,13;;;;;
Ocauçu;   50 859;    12216,96;   51 090;    12272,50;   57 933;    13916,05;   75 300;    17528,03;;;;;
Óleo;   30 755;    11505,92;   35 432;    13375,68;   39 201;    14933,75;   60 279;    22525,89;;;;;
Olímpia;  1 221 160;    24525,22;  1 289 089;    25611,72;  1 409 676;    27842,70;  1 478 177;    28075,54;;;;;
Onda Verde;   130 538;    33609,25;   129 664;    33069,24;   165 278;    41778,98;   191 649;    46426,57;;;;;
Oriente;   56 244;    9224,87;   62 087;    10144,94;   71 634;    11664,81;   81 444;    12793,64;;;;;
Orindiúva;   248 730;    43805,84;   281 301;    48567,14;   341 698;    57875,76;   338 269;    54174,99;;;;;
Orlândia;  1 024 669;    25757,75;  1 114 269;    27807,37;  1 278 904;    31693,70;  1 406 290;    33467,16;;;;;
Osasco;  45 140 281;    67730,50;  48 926 663;    73262,59;  51 124 971;    76434,04;  55 515 707;    80265,37;;;;;
Oscar Bressane;   30 959;    12193,26;   40 790;    16084,35;   51 602;    20355,73;   56 566;    21639,59;;;;;
Osvaldo Cruz;   582 677;    18846,50;   656 474;    21166,33;   753 403;    24218,18;   771 353;    23933,51;;;;;
Ourinhos;  1 737 814;    16867,72;  1 966 660;    18957,77;  2 201 743;    21085,46;  2 498 015;    22986,31;;;;;
Ouro Verde;   75 545;    9692,77;   75 860;    9662,41;   93 829;    11878,56;   96 262;    11716,44;;;;;
Ouroeste;   536 772;    63855,84;   587 063;    68518,09;   646 735;    74124,32;   610 703;    66272,74;;;;;
Pacaembu;   115 577;    8935,88;   129 063;    9717,83;   138 259;    10369,69;   153 889;    11128,03;;;;;
Palestina;   219 093;    19823,80;   202 384;    18068,42;   213 818;    18845,21;   255 572;    21469,39;;;;;
Palmares Paulista;   76 689;    7011,27;   83 413;    7497,10;   93 631;    8277,12;   103 851;    8710,88;;;;;
Palmeira d'Oeste;   103 399;    10788,76;   106 278;    11154,29;   123 539;    13041,18;   129 776;    13379,02;;;;;
Palmital;   406 035;    19101,23;   440 549;    20757,11;   464 223;    21835,53;   537 224;    24433,73;;;;;
Panorama;   165 751;    11350,50;   191 273;    13051,73;   223 591;    15184,44;   229 047;    14982,13;;;;;
Paraguaçu Paulista;   742 918;    17570,96;   883 883;    20805,57;   903 652;    21172,73;   899 597;    20302,35;;;;;
Paraibuna;   207 723;    11949,08;   199 013;    11425,71;   218 371;    12516,96;   243 183;    13480,21;;;;;
Paraíso;   140 705;    23820,04;   150 073;    25290,42;   170 683;    28594,86;   175 672;    28302,26;;;;;
Paranapanema;   303 287;    17029,03;   332 734;    18500,64;   373 707;    20584,27;   441 412;    23275,09;;;;;
Paranapuã;   45 550;    11939,70;   43 402;    11332,21;   55 829;    14527,53;   59 765;    15004,93;;;;;
Parapuã;   190 539;    17570,93;   226 840;    20955,18;   236 267;    21866,48;   252 995;    22743,14;;;;;
Pardinho;   145 652;    26093,18;   156 914;    27782,15;   177 119;    31013,63;   195 702;    32731,60;;;;;
Pariquera-Açu;   278 833;    15110,45;   303 612;    16404,35;   360 039;    19391,36;   382 740;    19893,94;;;;;
Parisi;   21 046;    10357,48;   23 108;    11333,18;   25 582;    12509,63;   27 716;    13085,85;;;;;
Patrocínio Paulista;   368 627;    28351,53;   453 239;    34540,40;   550 335;    41566,12;   623 980;    45147,26;;;;;
Paulicéia;   116 941;    18439,15;   152 367;    23736,85;   160 960;    24778,34;   193 945;    28491,99;;;;;
Paulínia;  14 685 207;   1 78760,89;  9 844 187;   1 16482,72;  8 723 392;   1 00499,91;  12 153 539;   1 31151,41;;;;;
Paulistânia;   18 485;    10396,53;   26 300;    14783,40;   23 540;    13231,98;   22 062;    12016,08;;;;;
Paulo de Faria;   154 343;    17969,88;   158 254;    18405,97;   157 495;    18298,47;   173 763;    19539,32;;;;;
Pederneiras;  1 348 266;    32464,87;  1 559 146;    37236,00;  1 745 065;    41317,97;  1 979 414;    44912,17;;;;;
Pedra Bela;   41 623;    7201,16;   45 017;    7769,61;   51 267;    8830,01;   63 475;    10563,27;;;;;
Pedranópolis;   32 182;    12566,30;   33 086;    13000,22;   37 512;    14815,34;   41 744;    16086,17;;;;;
Pedregulho;   607 475;    38695,16;   690 682;    43838,88;   762 579;    48243,13;   453 992;    27712,88;;;;;
Pedreira;   755 090;    18173,48;   835 381;    19868,74;   884 304;    20799,33;   941 568;    21154,56;;;;;
Pedrinhas Paulista;   59 836;    20380,01;   65 270;    22148,07;   75 520;    25582,69;   86 300;    28257,87;;;;;
Pedro de Toledo;   90 254;    8837,21;   91 090;    8858,30;   100 055;    9659,64;   123 652;    11458,79;;;;;
Penápolis;   868 916;    14845,90;  1 006 314;    17111,86;  1 166 200;    19733,99;  1 185 732;    19320,72;;;;;
Pereira Barreto;   408 691;    16374,50;   492 310;    19726,33;   526 329;    21092,83;   570 408;    22158,64;;;;;
Pereiras;   102 981;    13789,61;   117 534;    15569,43;   123 658;    16185,63;   122 352;    15282,51;;;;;
Peruíbe;   644 496;    10778,79;   917 279;    15183,72;  1 095 654;    17952,71;  1 231 667;    19300,59;;;;;
Piacatu;   62 564;    11833,61;   59 241;    11097,97;   66 289;    12305,45;   72 114;    12817,99;;;;;
Piedade;   590 603;    11311,20;   667 080;    12755,37;   723 295;    13790,97;   940 332;    17310,02;;;;;
Pilar do Sul;   243 008;    9201,01;   309 274;    11629,04;   362 269;    13528,60;   446 983;    16032,40;;;;;
Pindamonhangaba;  3 819 871;    25979,51;  4 470 020;    30079,88;  5 118 975;    34089,68;  5 631 211;    35853,43;;;;;
Pindorama;   191 426;    12725,27;   198 230;    13051,74;   228 905;    14930,83;   285 842;    17850,61;;;;;
Pinhalzinho;   134 625;    10273,59;   151 550;    11422,24;   166 417;    12396,07;   203 690;    14480,01;;;;;
Piquerobi;   38 867;    10976,17;   40 330;    11386,30;   42 989;    12123,13;   47 347;    12918,60;;;;;
