;2010;;2011;;2012;;2013 (1);;;;;;
Piquete;   89 748;    6361,93;   103 979;    7414,36;   110 647;    7936,24;   125 744;    8806,82;;;;;
Piracaia;   256 957;    10221,43;   284 511;    11266,86;   318 491;    12546,91;   364 053;    13805,06;;;;;
Piracicaba;  12 251 552;    33577,67;  14 716 362;    40067,42;  16 084 424;    43480,93;  20 273 704;    52619,75;;;;;
Piraju;   338 858;    11894,35;   379 609;    13310,28;   485 046;    16981,60;   516 495;    17489,34;;;;;
Pirajuí;   212 821;    9365,47;   258 997;    11307,45;   282 019;    12209,67;   294 034;    12201,58;;;;;
Pirangi;   131 705;    12398,14;   151 039;    14158,13;   167 619;    15647,74;   191 946;    17273,76;;;;;
Pirapora do Bom Jesus;   322 044;    20477,15;   371 358;    23224,41;   333 951;    20566,03;   323 919;    18952,62;;;;;
Pirapozinho;   434 505;    17578,48;   496 387;    19940,82;   542 258;    21615,95;   583 437;    22314,58;;;;;
Pirassununga;  1 482 695;    21139,68;  1 718 051;    24375,74;  1 907 565;    26916,78;  2 042 563;    27731,12;;;;;
Piratininga;   102 192;    8465,21;   122 236;    10030,05;   131 963;    10731,34;   151 581;    11806,28;;;;;
Pitangueiras;   671 371;    19011,46;   733 846;    20598,59;   738 683;    20556,66;   794 522;    21187,81;;;;;
Planalto;   150 895;    33742,28;   144 243;    31884,05;   187 674;    40950,07;   215 780;    44879,30;;;;;
Platina;   47 156;    14773,33;   52 814;    16417,28;   54 010;    16659,47;   62 384;    18467,68;;;;;
Poá;  3 999 148;    37716,07;  4 177 809;    39119,16;  3 921 947;    36464,23;  5 263 923;    46993,02;;;;;
Poloni;   84 866;    15730,44;   95 318;    17512,05;   98 545;    17953,23;   102 909;    17972,18;;;;;
Pompéia;   706 205;    35375,70;   842 369;    41904,71;   933 126;    46114,46;  1 132 375;    53769,01;;;;;
Pongaí;   42 995;    12358,53;   44 391;    12811,25;   37 432;    10852,93;   48 990;    13850,71;;;;;
Pontal;   663 139;    16477,55;   738 886;    17997,46;   803 972;    19215,39;   802 686;    18145,53;;;;;
Pontalinda;   38 996;    9571,85;   44 999;    10932,72;   51 454;    12383,55;   56 757;    13074,59;;;;;
Pontes Gestal;   106 736;    42305,19;   128 966;    51237,81;   167 811;    66724,07;   120 513;    46476,39;;;;;
Populina;   62 213;    14731,99;   64 578;    15353,79;   72 300;    17259,40;   75 894;    17653,77;;;;;
Porangaba;   81 151;    9738,50;   86 154;    10189,65;   93 555;    10905,10;   134 471;    14906,41;;;;;
Porto Feliz;   875 420;    17897,14;  1 024 188;    20836,73;  1 112 893;    22526,38;  1 313 913;    25602,36;;;;;
Porto Ferreira;  1 128 896;    21959,98;  1 267 394;    24512,01;  1 386 017;    26654,69;  1 456 553;    26945,25;;;;;
Potim;   110 256;    5679,51;   143 616;    7237,96;   165 092;    8143,85;   163 328;    7596,32;;;;;
Potirendaba;   307 156;    19876,81;   351 444;    22547,24;   402 324;    25593,13;   410 929;    25055,12;;;;;
Pracinha;   15 679;    5476,58;   17 293;    5826,61;   18 080;    5881,48;   21 841;    6588,66;;;;;
Pradópolis;   352 492;    20253,49;   534 906;    30186,58;   550 507;    30495,63;   594 419;    31158,94;;;;;
Praia Grande;  3 242 172;    12433,12;  3 696 182;    13827,48;  4 380 654;    16082,29;  4 955 164;    17207,40;;;;;
Pratânia;   73 890;    16066,63;   62 027;    13341,96;   80 227;    17080,48;   77 698;    15817,92;;;;;
Presidente Alves;   37 964;    9207,95;   46 302;    11268,35;   52 867;    12913,40;   57 026;    13561,46;;;;;
Presidente Bernardes;   142 907;    10551,31;   160 814;    11923,65;   188 375;    14051,53;   201 947;    14714,86;;;;;
Presidente Epitácio;   636 218;    15395,84;   643 190;    15508,26;   676 736;    16258,30;   872 877;    20226,55;;;;;
Presidente Prudente;  4 295 528;    20688,88;  4 668 841;    22336,28;  5 257 340;    24988,19;  5 729 555;    26167,13;;;;;
Presidente Venceslau;   403 076;    10631,05;   442 364;    11655,27;   493 917;    12999,19;   556 562;    14174,50;;;;;
Promissão;  1 410 601;    39525,91;  1 663 455;    46175,02;  1 651 392;    45412,82;  1 555 506;    40950,52;;;;;
Quadra;   72 465;    22393,52;   57 176;    17426,45;   57 758;    17370,85;   78 204;    22414,38;;;;;
Quatá;   286 031;    22297,38;   301 675;    23409,28;   348 107;    26835,24;   363 736;    26941,39;;;;;
Queiroz;   160 014;    56985,12;   205 175;    71814,83;   88 743;    30548,36;   190 773;    62344,08;;;;;
Queluz;   108 623;    9591,48;   124 802;    10873,18;   148 741;    12777,31;   181 159;    14807,85;;;;;
Quintana;   68 749;    11442,83;   84 996;    14053,52;   99 167;    16286,19;   121 231;    19124,61;;;;;
Rafard;   172 886;    20047,07;   197 879;    22923,89;   192 833;    22290,27;   190 029;    21227,57;;;;;
Rancharia;   552 374;    19197,64;   631 592;    21924,96;   838 786;    29115,40;   910 056;    30608,65;;;;;
Redenção da Serra;   32 108;    8277,39;   34 267;    8877,44;   35 731;    9287,92;   44 010;    11136,15;;;;;
Regente Feijó;   373 775;    20208,43;   410 450;    22056,52;   471 778;    25201,83;   506 700;    26027,35;;;;;
Reginópolis;   58 906;    8041,84;   80 749;    10735,07;   78 981;    10240,01;   85 095;    10354,69;;;;;
Registro;   978 135;    18020,50;  1 163 596;    21428,62;  1 419 278;    26119,43;  1 627 890;    29005,76;;;;;
Restinga;   111 929;    16992,46;   95 094;    14269,74;   123 130;    18271,20;   119 867;    16992,80;;;;;
Ribeira;   22 510;    6703,25;   23 779;    7104,65;   26 120;    7829,72;   29 513;    8611,78;;;;;
Ribeirão Bonito;   148 831;    12270,66;   162 559;    13320,11;   198 145;    16148,70;   241 303;    18925,72;;;;;
Ribeirão Branco;   154 392;    8449,65;   134 117;    7433,60;   183 355;    10288,15;   308 021;    17024,33;;;;;
Ribeirão Corrente;   63 594;    14882,75;   50 867;    11818,47;   77 100;    17793,66;   70 433;    15616,98;;;;;
Ribeirão do Sul;   64 168;    14374,58;   68 330;    15379,18;   80 417;    18115,93;   89 897;    19649,54;;;;;
Ribeirão dos Índios;   21 430;    9798,70;   25 856;    11833,51;   28 511;    13066,29;   31 102;    13835,42;;;;;
Ribeirão Grande;   205 126;    27648,72;   225 152;    30323,55;   223 132;    30043,36;   206 152;    26888,24;;;;;
Ribeirão Pires;  1 813 097;    16039,00;  2 082 009;    18307,24;  2 299 210;    20104,85;  2 660 355;    22380,19;;;;;
Ribeirão Preto;  17 544 632;    28993,93;  19 095 916;    31185,15;  21 075 107;    34006,04;  23 510 302;    36194,42;;;;;
Rifaina;   127 080;    36984,77;   140 274;    40718,25;   138 194;    40021,40;   119 373;    33400,28;;;;;
Rincão;   121 786;    11694,41;   132 122;    12678,41;   152 118;    14588,81;   151 163;    14038,13;;;;;
Rinópolis;   100 457;    10111,38;   115 038;    11607,10;   126 726;    12817,40;   152 985;    15042,78;;;;;
Rio Claro;  5 611 830;    30122,70;  6 471 068;    34486,98;  7 236 386;    38292,42;  7 665 019;    38944,11;;;;;
Rio das Pedras;   801 235;    27153,15;   917 214;    30611,56;   986 816;    32451,46;  1 129 910;    35329,55;;;;;
Rio Grande da Serra;   380 911;    8640,57;   423 544;    9517,20;   452 792;    10058,92;   521 263;    11057,29;;;;;
Riolândia;   104 817;    9912,73;   124 214;    11576,33;   131 129;    12052,28;   145 443;    12725,77;;;;;
Riversul;   31 463;    5103,54;   35 202;    5785,00;   38 699;    6441,25;   43 506;    7136,74;;;;;
Rosana;   823 117;    41801,70;   867 640;    44855,50;   979 795;    51551,87;  1 042 165;    54404,11;;;;;
Roseira;   151 809;    15803,55;   186 344;    19254,35;   190 840;    19565,28;   207 926;    20449,02;;;;;
Rubiácea;   59 227;    21702,75;   59 099;    21412,71;   64 514;    23131,57;   44 242;    15166,87;;;;;
Rubinéia;   30 289;    10583,32;   37 209;    12915,16;   43 775;    15094,81;   50 572;    16762,25;;;;;
Sabino;   100 427;    19216,73;   78 929;    15068,52;   53 674;    10208,12;   89 598;    16433,97;;;;;
Sagres;   22 714;    9483,92;   23 987;    10028,00;   32 654;    13668,47;   33 165;    13481,72;;;;;
Sales;   57 749;    10596,21;   67 456;    12220,37;   82 170;    14709,98;   92 370;    15781,64;;;;;
Sales Oliveira;   191 663;    18136,16;   209 360;    19632,40;   248 101;    23066,26;   262 329;    23370,05;;;;;
Salesópolis;   129 905;    8306,49;   139 288;    8852,69;   149 039;    9416,18;   164 971;    10021,33;;;;;
Salmourão;   52 512;    10899,11;   53 839;    11098,47;   62 361;    12776,29;   56 121;    11049,70;;;;;
Saltinho;   118 896;    16843,13;   143 911;    20110,53;   158 937;    21922,29;   178 361;    23446,92;;;;;
Salto;  3 337 553;    31614,89;  3 955 505;    37153,11;  4 468 035;    41608,79;  4 987 998;    44515,03;;;;;
Salto de Pirapora;   932 263;    23224,72;  1 078 589;    26618,02;  1 134 811;    27748,03;  1 243 453;    29113,86;;;;;
Salto Grande;   95 349;    10851,15;   105 058;    11919,43;   122 341;    13841,00;   141 104;    15411,15;;;;;
Sandovalina;   127 615;    34499,76;   165 844;    44272,33;   175 926;    46394,06;   183 060;    46064,53;;;;;
Santa Adélia;   206 412;    14401,18;   216 165;    15010,43;   232 180;    16048,92;   256 654;    17090,90;;;;;
Santa Albertina;   82 761;    14461,17;   106 520;    18576,95;   100 167;    17438,48;   139 694;    23513,51;;;;;
Santa Bárbara d'Oeste;  3 514 169;    19507,12;  4 144 801;    22928,34;  4 464 719;    24597,78;  5 129 706;    27241,91;;;;;
Santa Branca;   208 408;    15134,93;   246 077;    17804,56;   199 615;    14384,63;   237 226;    16479,78;;;;;
Santa Clara d'Oeste;   31 141;    14942,78;   32 976;    15838,82;   39 681;    19086,45;   45 971;    21471,68;;;;;
Santa Cruz da Conceição;   94 380;    23606,92;   108 229;    26795,95;   120 499;    29577,54;   124 265;    29231,98;;;;;
Santa Cruz da Esperança;   26 383;    13509,02;   22 145;    11264,20;   31 195;    15778,91;   33 262;    16178,01;;;;;
Santa Cruz das Palmeiras;   295 196;    9848,41;   302 084;    9980,32;   338 065;    11050,41;   375 726;    11738,15;;;;;
Santa Cruz do Rio Pardo;   964 845;    21963,74;  1 015 327;    22996,18;  1 285 281;    28964,08;  1 440 262;    31247,54;;;;;
Santa Ernestina;   53 512;    9610,61;   55 168;    9931,28;   62 977;    11363,60;   75 665;    13272,15;;;;;
Santa Fé do Sul;   536 437;    18349,12;   641 650;    21788,52;   729 658;    24608,22;   781 430;    25311,95;;;;;
Santa Gertrudes;   915 666;    42305,76;  1 085 388;    49170,42;  1 224 792;    54437,60;  1 344 571;    56511,20;;;;;
Santa Isabel;   963 673;    19096,25;  1 000 032;    19620,40;  1 162 470;    22586,70;  1 309 914;    24355,09;;;;;
Santa Lúcia;   77 501;    9398,58;   79 997;    9662,68;   93 926;    11305,49;   96 215;    11170,90;;;;;
Santa Maria da Serra;   86 361;    15939,70;   94 084;    17200,04;   118 218;    21396,94;   135 886;    23525,98;;;;;
Santa Mercedes;   40 827;    14421,49;   43 164;    15230,65;   52 313;    18446,04;   53 828;    18377,61;;;;;
Santa Rita d'Oeste;   28 794;    11322,79;   34 783;    13737,36;   39 574;    15697,80;   40 564;    15691,96;;;;;
Santa Rita do Passa Quatro;   458 604;    17358,23;   520 060;    19621,20;   578 529;    21806,59;   543 879;    19841,63;;;;;
Santa Rosa de Viterbo;   571 067;    23923,05;   630 032;    26197,85;   670 891;    27689,60;   701 005;    27766,96;;;;;
Santa Salete;   17 177;    11870,73;   17 658;    12153,13;   17 629;    12091,06;   18 768;    12420,87;;;;;
Santana da Ponte Pensa;   19 355;    11794,91;   20 662;    12738,90;   21 528;    13429,88;   23 339;    14326,89;;;;;
Santana de Parnaíba;  4 699 134;    43160,82;  5 852 123;    52522,15;  6 511 743;    57148,13;  7 373 603;    60939,87;;;;;
Santo Anastácio;   226 936;    11071,11;   249 400;    12193,23;   285 439;    13968,83;   302 639;    14371,02;;;;;
Santo André;  18 499 215;    27450,41;  20 564 037;    30308,71;  22 716 938;    33382,91;  25 027 925;    35503,52;;;;;
Santo Antônio da Alegria;   114 880;    18223,32;   114 932;    18110,95;   121 002;    18948,02;   138 535;    20851,21;;;;;
Santo Antônio de Posse;   471 604;    22854,56;   526 560;    25261,95;   605 500;    28789,45;   687 017;    31289,18;;;;;
Santo Antônio do Aracanguá;   202 784;    26587,61;   183 173;    23850,63;   169 930;    21977,47;   173 861;    21602,96;;;;;
Santo Antônio do Jardim;   78 919;    13279,35;   97 315;    16418,94;   99 999;    16914,61;   108 334;    17823,90;;;;;
Santo Antônio do Pinhal;   54 369;    8343,90;   62 959;    9687,48;   66 257;    10177,65;   78 388;    11642,41;;;;;
Santo Expedito;   21 102;    7520,45;   23 400;    8283,31;   23 620;    8302,20;   27 521;    9288,24;;;;;
Santópolis do Aguapeí;   41 930;    9794,38;   47 251;    10955,56;   50 545;    11627,57;   54 981;    12131,62;;;;;
Santos;  13 312 005;    31713,60;  15 317 798;    36513,63;  17 431 915;    41542,74;  19 265 873;    44478,22;;;;;
São Bento do Sapucaí;   107 208;    10247,33;   115 516;    11025,70;   139 588;    13311,80;   146 826;    13556,12;;;;;
São Bernardo do Campo;  42 559 739;    55618,89;  45 439 191;    58992,55;  44 885 294;    57925,03;  47 668 531;    59149,80;;;;;
São Caetano do Sul;  11 687 265;    78138,57;  12 726 132;    84862,38;  14 618 273;    97042,40;  15 306 267;    97889,94;;;;;
São Carlos;  6 712 498;    30245,20;  7 374 130;    32894,82;  8 076 090;    35684,07;  8 903 088;    37652,04;;;;;
São Francisco;   24 093;    8626,23;   27 127;    9730,00;   29 234;    10504,64;   32 649;    11399,76;;;;;
São João da Boa Vista;  1 722 781;    20592,40;  1 941 223;    23077,11;  2 064 930;    24412,77;  2 312 016;    26299,21;;;;;
São João das Duas Pontes;   23 837;    9289,62;   24 312;    9500,51;   28 534;    11180,98;   27 134;    10340,86;;;;;
São João de Iracema;   29 622;    16641,60;   40 311;    22532,55;   31 582;    17574,91;   34 052;    18258,25;;;;;
São João do Pau d'Alho;   25 569;    12158,15;   25 656;    12228,88;   38 152;    18237,03;   40 893;    19020,10;;;;;
São Joaquim da Barra;   924 865;    19879,31;  1 083 600;    23108,91;  1 130 382;    23920,39;  1 290 404;    26196,32;;;;;
São José da Bela Vista;   95 527;    11362,83;   92 343;    10951,54;   104 760;    12388,82;   109 939;    12551,60;;;;;
São José do Barreiro;   27 992;    6832,29;   35 489;    8715,37;   35 656;    8764,97;   41 868;    9992,47;;;;;
São José do Rio Pardo;  1 139 941;    21959,95;  1 244 131;    23907,20;  1 338 970;    25662,56;  1 387 940;    25691,17;;;;;
São José do Rio Preto;  9 367 640;    22935,45;  10 623 469;    25780,36;  11 926 848;    28686,24;  13 259 377;    30548,82;;;;;
São José dos Campos;  25 796 747;    41107,47;  25 039 723;    39316,48;  26 045 842;    40468,80;  27 401 017;    40699,31;;;;;
São Lourenço da Serra;   211 455;    15120,15;   218 135;    15459,61;   184 467;    12953,26;   220 531;    14826,63;;;;;
São Luís do Paraitinga;   85 164;    8185,65;   94 919;    9131,18;   105 626;    10163,20;   135 020;    12593,94;;;;;
São Manuel;   695 490;    18116,43;   738 118;    19181,86;   840 827;    21775,18;   923 433;    23070,26;;;;;
São Miguel Arcanjo;   330 203;    10498,63;   406 326;    12898,84;   427 505;    13550,52;   485 739;    14890,37;;;;;
São Paulo;  446 958 815;    39749,57;  495 708 264;    43805,50;  533 373 226;    46883,01;  570 706 192;    48275,45;;;;;
São Pedro;   397 673;    12549,63;   432 397;    13533,13;   455 929;    14145,66;   502 671;    14943,55;;;;;
São Pedro do Turvo;   92 018;    12766,16;   94 863;    13135,31;   122 073;    16849,26;   139 370;    18562,90;;;;;
São Roque;  1 430 113;    18131,85;  1 577 851;    19783,23;  1 771 470;    21961,92;  2 002 960;    23714,89;;;;;
São Sebastião;  3 792 327;    51363,57;  4 360 130;    58009,00;  3 953 949;    51791,22;  5 772 026;    71810,12;;;;;
São Sebastião da Grama;   156 936;    12969,89;   174 099;    14421,71;   228 305;    18952,73;   212 973;    17183,52;;;;;
São Simão;   245 123;    17081,74;   261 144;    18137,49;   310 713;    21505,63;   353 889;    23630,42;;;;;
São Vicente;  3 214 342;    9669,40;  3 468 553;    10364,32;  3 874 735;    11504,25;  4 386 717;    12516,85;;;;;
Sarapuí;   92 552;    10252,78;   110 344;    12097,74;   108 240;    11749,95;   111 398;    11570,20;;;;;
Sarutaiá;   25 244;    6969,70;   27 868;    7711,04;   30 986;    8595,34;   41 771;    11268,06;;;;;
Sebastianópolis do Sul;   236 356;    77979,49;   190 139;    61954,56;   198 396;    63895,69;   231 341;    71138,17;;;;;
Serra Azul;   82 034;    7286,07;   89 112;    7716,00;   115 444;    9756,90;   133 454;    10598,34;;;;;
Serra Negra;   386 880;    14675,66;   438 540;    16497,62;   477 788;    17847,87;   513 566;    18421,25;;;;;
Serrana;   469 615;    12075,17;   550 516;    13986,68;   564 253;    14167,96;   681 563;    16333,46;;;;;
Sertãozinho;  3 799 311;    34509,70;  3 986 943;    35835,43;  4 301 032;    38265,07;  4 383 009;    37289,82;;;;;
Sete Barras;   239 977;    18451,24;   189 545;    14635,55;   229 390;    17784,93;   164 078;    12393,53;;;;;
Severínia;   221 500;    14286,60;   236 521;    15116,04;   244 351;    15477,02;   254 980;    15470,22;;;;;
Silveiras;   37 022;    6391,99;   39 235;    6736,85;   42 670;    7287,82;   52 374;    8609,87;;;;;
Socorro;   430 605;    11734,69;   479 275;    12956,17;   519 375;    13928,74;   563 401;    14491,52;;;;;
Sorocaba;  18 670 200;    31843,51;  21 519 133;    36241,16;  24 869 435;    41401,31;  26 908 887;    42764,72;;;;;
Sud Mennucci;   133 948;    18003,76;   168 408;    22632,46;   201 074;    27004,24;   191 489;    24897,83;;;;;
Sumaré;  9 231 358;    38235,06;  9 364 240;    38542,31;  10 942 308;    44436,31;  11 327 493;    43810,60;;;;;
Suzanápolis;   115 380;    34105,69;   95 315;    27796,67;   83 916;    24162,39;   104 358;    28654,07;;;;;
Suzano;  6 580 338;    25061,46;  7 275 558;    27447,27;  7 828 854;    29257,67;  8 998 633;    32193,16;;;;;
Tabapuã;   170 273;    14980,91;   180 971;    15833,00;   189 370;    16474,15;   215 582;    18041,85;;;;;
Tabatinga;   140 470;    9564,88;   149 515;    10090,77;   155 646;    10415,95;   170 742;    10952,00;;;;;
Taboão da Serra;  5 607 690;    22914,81;  6 205 120;    25007,84;  6 669 662;    26508,15;  7 375 289;    27899,50;;;;;
Taciba;   126 887;    22206,34;   157 280;    27343,54;   184 527;    31875,45;   186 950;    31039,37;;;;;
Taguaí;   114 345;    10563,08;   134 431;    12126,20;   147 491;    13010,89;   172 759;    14355,90;;;;;
Taiaçu;   53 488;    9074,97;   54 583;    9226,42;   59 113;    9958,42;   65 321;    10616,14;;;;;
Taiúva;   63 692;    11693,07;   66 656;    12246,16;   72 073;    13251,11;   78 845;    14064,44;;;;;
Tambaú;   386 474;    17245,61;   406 246;    18121,42;   419 710;    18712,85;   454 696;    19633,67;;;;;
Tanabi;   398 455;    16564,35;   457 476;    18929,01;   484 876;    19972,63;   723 582;    28714,71;;;;;
Tapiraí;   72 365;    9028,74;   80 128;    10053,73;   87 961;    11094,96;   118 108;    14536,36;;;;;
Tapiratiba;   172 524;    13538,70;   181 166;    14240,40;   226 115;    17794,53;   229 258;    17512,65;;;;;
Taquaral;   24 022;    8812,20;   24 278;    8902,82;   22 569;    8276,14;   19 922;    7079,60;;;;;
Taquaritinga;   723 487;    13401,62;   815 391;    15061,90;   882 296;    16254,83;  1 030 623;    18337,19;;;;;
Taquarituba;   254 468;    11414,20;   306 308;    13726,55;   390 248;    17470,14;   450 510;    19516,97;;;;;
Taquarivaí;   68 608;    13324,49;   70 416;    13531,19;   89 280;    16992,70;   132 478;    24135,15;;;;;
Tarabai;   60 211;    9115,92;   65 379;    9800,51;   69 233;    10285,65;   76 424;    10874,20;;;;;
Tarumã;   558 447;    43347,55;   650 665;    49859,36;   757 970;    57382,83;   804 175;    58084,14;;;;;
Tatuí;  2 315 838;    21447,91;  2 641 660;    24371,13;  2 990 731;    27331,33;  3 348 513;    29292,24;;;;;
Taubaté;  11 825 635;    42427,76;  13 029 568;    46313,19;  13 765 182;    48486,19;  14 988 466;    50563,09;;;;;
Tejupá;   32 843;    6829,43;   39 025;    8183,02;   44 795;    9470,35;   58 394;    12094,78;;;;;
Teodoro Sampaio;   295 296;    13805,99;   367 218;    17085,45;   418 681;    19387,85;   435 753;    19432,44;;;;;
Terra Roxa;   93 075;    10943,60;   86 229;    10069,97;   101 116;    11731,71;   108 812;    12132,04;;;;;
Tietê;  1 266 040;    34378,03;  1 340 724;    36012,91;  1 413 706;    37589,57;  1 531 637;    38949,16;;;;;
Timburi;   22 828;    8627,20;   26 156;    9907,57;   26 861;    10197,84;   32 194;    11883,98;;;;;
Torre de Pedra;   13 945;    6178,66;   14 392;    6359,57;   16 833;    7412,27;   23 636;    10040,78;;;;;
Torrinha;   116 911;    12530,66;   133 543;    14255,24;   146 248;    15550,07;   148 471;    15221,54;;;;;
Trabiju;   25 339;    16411,48;   28 441;    18266,24;   29 309;    18680,33;   34 148;    20885,52;;;;;
Tremembé;   413 742;    10094,96;   464 333;    11200,34;   508 888;    12140,96;   528 931;    12056,51;;;;;
Três Fronteiras;   53 559;    9867,26;   56 416;    10355,39;   68 506;    12528,52;   68 381;    12062,24;;;;;
Tuiuti;   115 232;    19415,68;   105 760;    17612,00;   98 131;    16145,21;   103 317;    16221,78;;;;;
Tupã;   985 478;    15521,29;  1 145 341;    18040,57;  1 303 812;    20533,11;  1 401 101;    21377,80;;;;;
Tupi Paulista;   171 808;    12046,53;   186 839;    13024,69;   209 291;    14515,94;   229 665;    15335,54;;;;;
Turiúba;   35 108;    18219,14;   37 110;    19198,06;   30 995;    16009,64;   30 793;    15396,73;;;;;
Turmalina;   29 392;    14859,22;   30 175;    15482,32;   31 086;    16190,78;   31 272;    16103,07;;;;;
Ubarana;   152 267;    28805,62;   178 772;    33278,52;   172 493;    31644,29;   183 997;    32099,98;;;;;
Ubatuba;   898 760;    11395,46;  1 049 819;    13169,15;  1 229 307;    15251,19;  1 457 786;    17277,06;;;;;
Ubirajara;   39 772;    8979,83;   43 727;    9830,73;   47 663;    10667,58;   49 152;    10599,92;;;;;
Uchoa;   191 745;    20236,89;   201 814;    21232,42;   229 193;    24031,97;   239 853;    24264,36;;;;;
União Paulista;   30 470;    19055,66;   31 953;    19748,63;   37 009;    22621,85;   39 233;    22916,48;;;;;
Urânia;   120 755;    13666,24;   135 418;    15323,96;   141 020;    15956,10;   154 224;    16908,71;;;;;
Uru;   20 640;    16498,40;   21 181;    17081,55;   14 994;    12210,13;   21 037;    16803,11;;;;;
Urupês;   163 128;    12824,54;   180 121;    14091,73;   205 788;    16017,12;   238 808;    17894,95;;;;;
Valentim Gentil;   204 493;    18538,03;   221 803;    19763,25;   240 518;    21090,71;   273 830;    22796,39;;;;;
Valinhos;  3 918 466;    36632,13;  4 263 109;    39247,20;  4 437 537;    40198,72;  4 970 627;    42736,76;;;;;
Valparaíso;   488 941;    21618,29;   530 536;    23183,71;   580 838;    25056,62;   667 285;    27434,31;;;;;
Vargem;   59 850;    6800,34;   66 965;    7488,83;   77 476;    8535,45;   93 818;    9823,82;;;;;
Vargem Grande do Sul;   457 451;    11650,05;   536 536;    13585,25;   645 807;    16261,45;   742 956;    17998,39;;;;;
Vargem Grande Paulista;   885 164;    20611,10;  1 140 481;    26044,91;  1 324 018;    29716,49;  1 496 965;    31841,52;;;;;
Várzea Paulista;  1 836 996;    17144,79;  2 033 365;    18795,09;  2 190 609;    20051,89;  2 368 423;    20744,70;;;;;
Vera Cruz;   86 029;    7988,55;   84 108;    7827,59;   104 575;    9753,32;   106 318;    9637,26;;;;;
Vinhedo;  5 228 320;    82096,58;  5 967 403;    91990,18;  6 379 353;    96529,62;  7 137 263;   1 02187,18;;;;;
Viradouro;   171 781;    9925,52;   189 242;    10875,98;   219 154;    12523,77;   244 789;    13456,57;;;;;
Vista Alegre do Alto;   201 468;    29244,88;   223 490;    31700,65;   269 173;    37343,67;   275 143;    35957,02;;;;;
Vitória Brasil;   16 014;    9219,22;   16 814;    9652,15;   19 102;    10934,03;   21 714;    12003,15;;;;;
Votorantim;  1 875 814;    17229,54;  2 138 430;    19476,04;  2 247 477;    20292,33;  2 483 534;    21486,65;;;;;
Votuporanga;  1 472 025;    17373,54;  1 642 282;    19233,40;  1 891 710;    21981,55;  2 145 029;    23909,36;;;;;
Zacarias;   57 500;    24636,00;   57 696;    24395,86;   63 102;    26358,28;   63 857;    25451,28;;;;;
Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.;;;;;;;;;;;;;
(1) Dados sujeitos a revisão. ;;;;;;;;;;;;;
Nota: Inclui dados do Distrito Estadual de Fernando de Noronha e do Distrito Federal.;;;;;;;;;;;;;