Código IBGE do Município;Código da Unidade da Federação;Sigla da Unidade da Federação;Nome das Grandes Regiões;Código IBGE da Mesoregião;Nome da Mesoregião;Código IBGE da Microregião;Nome da Microregião;IDHM 1991;IDHM 2000;IDHM 2010
350010;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,592;0,721;0,79
350020;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,513;0,667;0,73
350030;35;SP;Sudeste;3507;Campinas;35029;Pirassununga;0,491;0,642;0,715
350040;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,576;0,692;0,781
350050;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,558;0,695;0,745
350055;35;SP;Sudeste;3504;Bauru;35022;AvarÚ;0,559;0,668;0,757
350060;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,634;0,791;0,854
350070;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,513;0,669;0,745
350075;35;SP;Sudeste;3511;Itapetininga;35042;Itapetininga;0,418;0,572;0,712
350080;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,55;0,646;0,741
350090;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,509;0,605;0,687
350100;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,483;0,658;0,73
350110;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,48;0,616;0,7
350115;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,515;0,682;0,766
350120;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,478;0,665;0,728
350130;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,538;0,661;0,758
350140;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,421;0,56;0,688
350150;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,461;0,555;0,722
350160;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,609;0,735;0,811
350170;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,527;0,658;0,751
350180;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,489;0,644;0,745
350190;35;SP;Sudeste;3507;Campinas;35033;Amparo;0,578;0,716;0,785
350200;35;SP;Sudeste;3505;Araraquara;35025;SÒo Carlos;0,493;0,685;0,754
350210;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,56;0,717;0,779
350220;35;SP;Sudeste;3511;Itapetininga;35042;Itapetininga;0,435;0,612;0,719
350230;35;SP;Sudeste;3504;Bauru;35023;Botucatu;0,477;0,626;0,721
350240;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,513;0,585;0,741
350250;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,569;0,689;0,755
350260;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,468;0,626;0,721
350270;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,442;0,605;0,71
350275;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,426;0,602;0,704
350280;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,59;0,744;0,788
350290;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,494;0,658;0,776
350300;35;SP;Sudeste;3502;RibeirÒo Preto;35011;Ituverava;0,515;0,628;0,74
350310;35;SP;Sudeste;3504;Bauru;35022;AvarÚ;0,397;0,584;0,685
350315;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,373;0,594;0,68
350320;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,607;0,742;0,815
350330;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,573;0,71;0,781
350335;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,408;0,636;0,722
350340;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,478;0,662;0,744
350350;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,418;0,6;0,697
350360;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,433;0,578;0,695
350370;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,48;0,633;0,733
350380;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,519;0,658;0,749
350390;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35059;Guarulhos;0,524;0,67;0,784
350395;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,434;0,629;0,735
350400;35;SP;Sudeste;3510;Assis;35039;Assis;0,597;0,728;0,805
350410;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,545;0,675;0,765
350420;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,557;0,677;0,773
350430;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,421;0,608;0,714
350440;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,463;0,608;0,705
350450;35;SP;Sudeste;3504;Bauru;35022;AvarÚ;0,541;0,683;0,767
350460;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,525;0,688;0,746
350470;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,536;0,639;0,669
350480;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,525;0,705;0,756
350490;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35052;Bananal;0,456;0,632;0,733
350500;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,464;0,593;0,711
350510;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,43;0,588;0,699
350520;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,572;0,698;0,75
350530;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,603;0,706;0,788
350535;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,325;0,488;0,66
350540;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,318;0,482;0,641
350550;35;SP;Sudeste;3502;RibeirÒo Preto;35009;Barretos;0,558;0,71;0,789
350560;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,409;0,591;0,725
350570;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35057;Osasco;0,549;0,705;0,786
350580;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,516;0,651;0,751
350590;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,519;0,695;0,761
350600;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,607;0,736;0,801
350610;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,548;0,695;0,78
350620;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,54;0,635;0,744
350630;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,511;0,643;0,734
350635;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35063;Santos;0,51;0,634;0,73
350640;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,574;0,709;0,768
350650;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,569;0,703;0,78
350660;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35062;Mogi das Cruzes;0,489;0,603;0,712
350670;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,415;0,602;0,681
350680;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,544;0,677;0,742
350690;35;SP;Sudeste;3504;Bauru;35023;Botucatu;0,429;0,616;0,705
350700;35;SP;Sudeste;3511;Itapetininga;35043;TatuÝ;0,539;0,672;0,78
350710;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,445;0,617;0,713
350715;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,305;0,539;0,66
350720;35;SP;Sudeste;3510;Assis;35039;Assis;0,506;0,649;0,746
350730;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,47;0,637;0,754
350740;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,493;0,63;0,73
350745;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,482;0,578;0,705
350750;35;SP;Sudeste;3504;Bauru;35023;Botucatu;0,588;0,718;0,8
350760;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35048;Braganþa Paulista;0,553;0,687;0,776
350770;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,524;0,669;0,737
350775;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,437;0,597;0,71
350780;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,546;0,665;0,755
350790;35;SP;Sudeste;3506;Piracicaba;35026;Rio Claro;0,491;0,664;0,74
350800;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,379;0,542;0,667
350810;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,531;0,66;0,763
350820;35;SP;Sudeste;3502;RibeirÒo Preto;35011;Ituverava;0,522;0,608;0,735
350830;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,448;0,577;0,694
350840;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,478;0,626;0,738
350850;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35050;SÒo JosÚ dos Campos;0,542;0,694;0,788
350860;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,553;0,676;0,764
350870;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,456;0,619;0,72
350880;35;SP;Sudeste;3504;Bauru;35019;Lins;0,504;0,654;0,742
350890;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,48;0,626;0,729
350900;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35058;Franco da Rocha;0,545;0,687;0,781
350910;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,435;0,593;0,697
350920;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35057;Osasco;0,501;0,634;0,728
350925;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,434;0,579;0,694
350930;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,505;0,617;0,734
350940;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,514;0,648;0,713
350945;35;SP;Sudeste;3511;Itapetininga;35042;Itapetininga;0,364;0,592;0,717
350950;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,618;0,735;0,805
350960;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35047;JundiaÝ;0,507;0,678;0,769
350970;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35049;Campos do JordÒo;0,507;0,653;0,749
350980;35;SP;Sudeste;3510;Assis;35039;Assis;0,411;0,592;0,706
350990;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,45;0,625;0,72
350995;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,406;0,577;0,704
351000;35;SP;Sudeste;3510;Assis;35039;Assis;0,519;0,656;0,747
351010;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,485;0,629;0,789
351015;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,37;0,545;0,68
351020;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,428;0,579;0,721
351030;35;SP;Sudeste;3512;Macro Metropolitana Paulista;35046;Sorocaba;0,433;0,573;0,699
351040;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,565;0,655;0,75
351050;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35054;Caraguatatuba;0,519;0,685;0,759
351060;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35057;Osasco;0,519;0,644;0,749
351070;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,504;0,656;0,722
351080;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,56;0,699;0,73
351090;35;SP;Sudeste;3502;RibeirÒo Preto;35015;Batatais;0,487;0,643;0,734
351100;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,502;0,634;0,731
351110;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,582;0,705;0,785
351120;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,472;0,632;0,751
351130;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,528;0,657;0,766
351140;35;SP;Sudeste;3504;Bauru;35022;AvarÚ;0,494;0,631;0,729
351150;35;SP;Sudeste;3511;Itapetininga;35043;TatuÝ;0,559;0,713;0,782
351160;35;SP;Sudeste;3511;Itapetininga;35043;TatuÝ;0,485;0,622;0,706
351170;35;SP;Sudeste;3506;Piracicaba;35028;Piracicaba;0,515;0,636;0,736
351190;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,526;0,636;0,725
351200;35;SP;Sudeste;3502;RibeirÒo Preto;35009;Barretos;0,522;0,663;0,757
351210;35;SP;Sudeste;3502;RibeirÒo Preto;35009;Barretos;0,466;0,607;0,71
351220;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,468;0,602;0,708
351230;35;SP;Sudeste;3504;Bauru;35023;Botucatu;0,538;0,658;0,736
351240;35;SP;Sudeste;3506;Piracicaba;35027;Limeira;0,578;0,706;0,758
351250;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,479;0,63;0,719
351260;35;SP;Sudeste;3511;Itapetininga;35041;Itapeva;0,401;0,561;0,69
351270;35;SP;Sudeste;3506;Piracicaba;35026;Rio Claro;0,48;0,641;0,754
351280;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,529;0,665;0,769
351290;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35003;Votuporanga;0,494;0,627;0,722
351300;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35060;Itapecerica da Serra;0,557;0,693;0,78
351310;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,521;0,668;0,756
351320;35;SP;Sudeste;3502;RibeirÒo Preto;35012;Franca;0,441;0,609;0,734
351330;35;SP;Sudeste;3510;Assis;35039;Assis;0,518;0,69;0,774
351340;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,556;0,704;0,788
351350;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35063;Santos;0,517;0,634;0,737
351360;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35053;Paraibuna/Paraitinga;0,39;0,543;0,684
351370;35;SP;Sudeste;3505;Araraquara;35025;SÒo Carlos;0,544;0,7;0,76
351380;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35061;SÒo Paulo;0,528;0,664;0,757
351385;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,468;0,644;0,741
351390;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,464;0,63;0,734
351400;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,471;0,625;0,718
351410;35;SP;Sudeste;3504;Bauru;35021;Ja·;0,529;0,642;0,725
351420;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35001;Jales;0,504;0,647;0,742
351430;35;SP;Sudeste;3505;Araraquara;35025;SÒo Carlos;0,544;0,658;0,738
351440;35;SP;Sudeste;3508;Presidente Prudente;35034;Dracena;0,574;0,717;0,776
351450;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,53;0,638;0,748
351460;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,558;0,675;0,744
351470;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,504;0,634;0,745
351480;35;SP;Sudeste;3514;Litoral Sul Paulista;35055;Registro;0,45;0,588;0,691
351490;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,443;0,589;0,695
351492;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,473;0,615;0,747
351495;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35005;Catanduva;0,455;0,655;0,73
351500;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35060;Itapecerica da Serra;0,487;0,63;0,735
351510;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35060;Itapecerica da Serra;0,483;0,65;0,749
351512;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,449;0,635;0,727
351515;35;SP;Sudeste;3507;Campinas;35031;Moji Mirim;0,472;0,646;0,732
351518;35;SP;Sudeste;3507;Campinas;35030;SÒo JoÒo da Boa Vista;0,561;0,681;0,787
351519;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,359;0,573;0,696
351520;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,516;0,677;0,76
351530;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,458;0,645;0,74
351535;35;SP;Sudeste;3508;Presidente Prudente;35036;Presidente Prudente;0,41;0,599;0,704
351540;35;SP;Sudeste;3510;Assis;35040;Ourinhos;0,484;0,633;0,732
351550;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,594;0,728;0,797
351560;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,502;0,634;0,758
351565;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,333;0,642;0,703
351570;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35062;Mogi das Cruzes;0,48;0,637;0,738
351580;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,501;0,639;0,727
351590;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,535;0,664;0,747
351600;35;SP;Sudeste;3508;Presidente Prudente;35035;Adamantina;0,493;0,622;0,715
351610;35;SP;Sudeste;3510;Assis;35039;Assis;0,484;0,642;0,713
351620;35;SP;Sudeste;3502;RibeirÒo Preto;35012;Franca;0,568;0,688;0,78
351630;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35058;Franco da Rocha;0,444;0,571;0,703
351640;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35058;Franco da Rocha;0,494;0,628;0,731
351650;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,525;0,631;0,763
351660;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,434;0,606;0,709
351670;35;SP;Sudeste;3509;MarÝlia;35038;MarÝlia;0,534;0,685;0,769
351680;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,463;0,638;0,723
351685;35;SP;Sudeste;3505;Araraquara;35024;Araraquara;0,44;0,597;0,719
351690;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,555;0,659;0,747
351700;35;SP;Sudeste;3504;Bauru;35019;Lins;0,484;0,623;0,717
351710;35;SP;Sudeste;3503;Araþatuba;35018;Birigui;0,473;0,629;0,735
351720;35;SP;Sudeste;3504;Bauru;35019;Lins;0,499;0,615;0,739
351730;35;SP;Sudeste;3504;Bauru;35019;Lins;0,512;0,607;0,728
351740;35;SP;Sudeste;3502;RibeirÒo Preto;35010;SÒo Joaquim da Barra;0,506;0,675;0,753
351750;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,472;0,679;0,725
351760;35;SP;Sudeste;3511;Itapetininga;35044;CapÒo Bonito;0,344;0,514;0,675
351770;35;SP;Sudeste;3502;RibeirÒo Preto;35011;Ituverava;0,482;0,605;0,718
351780;35;SP;Sudeste;3503;Araþatuba;35016;Andradina;0,521;0,663;0,719
351790;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35004;SÒo JosÚ do Rio Preto;0,459;0,632;0,737
351800;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35002;Fernand¾polis;0,474;0,62;0,732
351810;35;SP;Sudeste;3504;Bauru;35020;Bauru;0,429;0,582;0,713
351820;35;SP;Sudeste;3503;Araþatuba;35017;Araþatuba;0,564;0,687;0,763
351830;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35062;Mogi das Cruzes;0,501;0,658;0,731
351840;35;SP;Sudeste;3513;Vale do ParaÝba Paulista;35051;Guaratinguetß;0,598;0,718;0,798
351850;35;SP;Sudeste;3511;Itapetininga;35042;Itapetininga;0,404;0,579;0,687
351860;35;SP;Sudeste;3502;RibeirÒo Preto;35013;Jaboticabal;0,485;0,603;0,719
351870;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35063;Santos;0,497;0,636;0,751
351880;35;SP;Sudeste;3515;Metropolitana de SÒo Paulo;35059;Guarulhos;0,544;0,678;0,763
351885;35;SP;Sudeste;3502;RibeirÒo Preto;35014;RibeirÒo Preto;0,519;0,652;0,743
351890;35;SP;Sudeste;3501;SÒo JosÚ do Rio Preto;35006;Auriflama;0,398;0,613;0,697
351900;35;SP;Sudeste;3509;MarÝlia;35037;TupÒ;0,462;0,612;0,727
351905;35;SP;Sudeste;3507;Campinas;35032;Campinas;0,532;0,688;0,793
